0 825000 xx^xx-sil+s=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_20/K:1+6-20
825000 2525000 xx^sil-s+o=n/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_6|1_20/G:8_5%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
2525000 3025000 sil^s-o+n=o/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_6|1_20/G:8_5%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
3025000 3525000 s^o-n+o=i/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_6|1_20/G:8_5%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
3525000 4225000 o^n-o+i=t/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_6|1_20/G:8_5%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
4225000 5225000 n^o-i+t=a/A:-4+1+8/B:07-xx_xx/C:03_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:8_5#0_xx@2_5|3_18/G:2_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
5225000 5825000 o^i-t+a=z/A:-3+2+7/B:07-xx_xx/C:03_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:8_5#0_xx@2_5|3_18/G:2_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
5825000 6324999 i^t-a+z=u/A:-3+2+7/B:07-xx_xx/C:03_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:8_5#0_xx@2_5|3_18/G:2_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
6324999 7225000 t^a-z+u=r/A:-2+3+6/B:07-xx_xx/C:03_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:8_5#0_xx@2_5|3_18/G:2_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
7225000 7524999 a^z-u+r=a/A:-2+3+6/B:07-xx_xx/C:03_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:8_5#0_xx@2_5|3_18/G:2_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
7524999 8025000 z^u-r+a=m/A:-1+4+5/B:07-xx_xx/C:03_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:8_5#0_xx@2_5|3_18/G:2_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
