0 5725000 xx^xx-sil+h=I/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_25/K:2+8-38
5725000 6625000 xx^sil-h+I=t/A:-1+1+5/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_5|1_25/G:7_1%0_xx_1/H:xx_xx/I:5-25@1+2&1-8|1+38/J:3_13/K:2+8-38
6625000 6925000 sil^h-I+t=o/A:-1+1+5/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_5|1_25/G:7_1%0_xx_1/H:xx_xx/I:5-25@1+2&1-8|1+38/J:3_13/K:2+8-38
6925000 7425000 h^I-t+o=b/A:0+2+4/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_5|1_25/G:7_1%0_xx_1/H:xx_xx/I:5-25@1+2&1-8|1+38/J:3_13/K:2+8-38
7425000 8325000 I^t-o+b=i/A:0+2+4/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_5|1_25/G:7_1%0_xx_1/H:xx_xx/I:5-25@1+2&1-8|1+38/J:3_13/K:2+8-38
8325000 8825000 t^o-b+i=t/A:1+3+3/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_5|1_25/G:7_1%0_xx_1/H:xx_xx/I:5-25@1+2&1-8|1+38/J:3_13/K:2+8-38
8825000 9625000 o^b-i+t=o/A:1+3+3/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_5|1_25/G:7_1%0_xx_1/H:xx_xx/I:5-25@1+2&1-8|1+38/J:3_13/K:2+8-38
9625000 10125000 b^i-t+o=w/A:2+4+2/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_5|1_25/G:7_1%0_xx_1/H:xx_xx/I:5-25@1+2&1-8|1+38/J:3_13/K:2+8-38
10125000 10525000 i^t-o+w=a/A:2+4+2/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_5|1_25/G:7_1%0_xx_1/H:xx_xx/I:5-25@1+2&1-8|1+38/J:3_13/K:2+8-38
10525000 11225000 t^o-w+a=t/A:3+5+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_5|1_25/G:7_1%0_xx_1/H:xx_xx/I:5-25@1+2&1-8|1+38/J:3_13/K:2+8-38
11225000 13325000 o^w-a+t=o/A:3+5+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_5|1_25/G:7_1%0_xx_1/H:xx_xx/I:5-25@1+2&1-8|1+38/J:3_13/K:2+8-38
13325000 15625000 w^a-t+o=o/A:0+1+7/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:7_1#0_xx@2_4|6_20/G:4_4%0_xx_1/H:xx_xx/I:5-25@1+2&1-8|1+38/J:3_13/K:2+8-38
15625000 16825000 a^t-o+o=n/A:0+1+7/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:7_1#0_xx@2_4|6_20/G:4_4%0_xx_1/H:xx_xx/I:5-25@1+2&1-8|1+38/J:3_13/K:2+8-38
16825000 17425000 t^o-o+n=a/A:1+2+6/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:7_1#0_xx@2_4|6_20/G:4_4%0_xx_1/H:xx_xx/I:5-25@1+2&1-8|1+38/J:3_13/K:2+8-38
17425000 17925000 o^o-n+a=m/A:2+3+5/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:7_1#0_xx@2_4|6_20/G:4_4%0_xx_1/H:xx_xx/I:5-25@1+2&1-8|1+38/J:3_13/K:2+8-38
17925000 18825000 o^n-a+m=e/A:2+3+5/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:7_1#0_xx@2_4|6_20/G:4_4%0_xx_1/H:xx_xx/I:5-25@1+2&1-8|1+38/J:3_13/K:2+8-38
