0 2525000 xx^xx-sil+s=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_16/K:2+9-35
2525000 3925000 xx^sil-s+o=n/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_4|1_16/G:4_4%0_xx_1/H:xx_xx/I:4-16@1+2&1-9|1+35/J:5_19/K:2+9-35
3925000 4625000 sil^s-o+n=o/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_4|1_16/G:4_4%0_xx_1/H:xx_xx/I:4-16@1+2&1-9|1+35/J:5_19/K:2+9-35
4625000 5024999 s^o-n+o=k/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_4|1_16/G:4_4%0_xx_1/H:xx_xx/I:4-16@1+2&1-9|1+35/J:5_19/K:2+9-35
5024999 5625000 o^n-o+k=a/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_4|1_16/G:4_4%0_xx_1/H:xx_xx/I:4-16@1+2&1-9|1+35/J:5_19/K:2+9-35
5625000 6725000 n^o-k+a=i/A:-3+1+4/B:07-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_3|3_14/G:5_5%0_xx_1/H:xx_xx/I:4-16@1+2&1-9|1+35/J:5_19/K:2+9-35
6725000 7524999 o^k-a+i=sh/A:-3+1+4/B:07-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_3|3_14/G:5_5%0_xx_1/H:xx_xx/I:4-16@1+2&1-9|1+35/J:5_19/K:2+9-35
7524999 8025000 k^a-i+sh=a/A:-2+2+3/B:07-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_3|3_14/G:5_5%0_xx_1/H:xx_xx/I:4-16@1+2&1-9|1+35/J:5_19/K:2+9-35
8025000 8825000 a^i-sh+a=n/A:-1+3+2/B:07-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_3|3_14/G:5_5%0_xx_1/H:xx_xx/I:4-16@1+2&1-9|1+35/J:5_19/K:2+9-35
8825000 9425000 i^sh-a+n=o/A:-1+3+2/B:07-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_3|3_14/G:5_5%0_xx_1/H:xx_xx/I:4-16@1+2&1-9|1+35/J:5_19/K:2+9-35
9425000 9825000 sh^a-n+o=ky/A:0+4+1/B:02-xx_xx/C:23_xx+xx/D:19+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_3|3_14/G:5_5%0_xx_1/H:xx_xx/I:4-16@1+2&1-9|1+35/J:5_19/K:2+9-35
