0 725000 xx^xx-sil+w=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_25/K:1+5-25
725000 1424999 xx^sil-w+a=t/A:-3+1+4/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
1424999 2025000 sil^w-a+t=a/A:-3+1+4/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
2025000 2625000 w^a-t+a=sh/A:-2+2+3/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
2625000 3125000 a^t-a+sh=i/A:-2+2+3/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
3125000 4225000 t^a-sh+i=w/A:-1+3+2/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
4225000 4525000 a^sh-i+w=a/A:-1+3+2/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
4525000 4925000 sh^i-w+a=i/A:0+4+1/B:04-xx_xx/C:24_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
4925000 5525000 i^w-a+i=ts/A:0+4+1/B:04-xx_xx/C:24_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
5525000 6125000 w^a-i+ts=u/A:0+1+3/B:24-xx_xx/C:06_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@2_4|5_21/G:9_5%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
6125000 7524999 a^i-ts+u=m/A:1+2+2/B:24-xx_xx/C:06_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@2_4|5_21/G:9_5%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
7524999 7825000 i^ts-u+m=o/A:1+2+2/B:24-xx_xx/C:06_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@2_4|5_21/G:9_5%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
7825000 8125000 ts^u-m+o=m/A:2+3+1/B:24-xx_xx/C:06_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@2_4|5_21/G:9_5%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
8125000 9425000 u^m-o+m=i/A:2+3+1/B:24-xx_xx/C:06_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@2_4|5_21/G:9_5%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
9425000 11325000 m^o-m+i=n/A:-4+1+9/B:06-xx_xx/C:02_xx+xx/D:02+xx_xx/E:3_1!0_xx-1/F:9_5#0_xx@3_3|8_18/G:6_4%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
11325000 11725000 o^m-i+n=e/A:-4+1+9/B:06-xx_xx/C:02_xx+xx/D:02+xx_xx/E:3_1!0_xx-1/F:9_5#0_xx@3_3|8_18/G:6_4%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
11725000 12425000 m^i-n+e=r/A:-3+2+8/B:06-xx_xx/C:02_xx+xx/D:02+xx_xx/E:3_1!0_xx-1/F:9_5#0_xx@3_3|8_18/G:6_4%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
12425000 13425000 i^n-e+r=a/A:-3+2+8/B:06-xx_xx/C:02_xx+xx/D:02+xx_xx/E:3_1!0_xx-1/F:9_5#0_xx@3_3|8_18/G:6_4%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
13425000 13825000 n^e-r+a=r/A:-2+3+7/B:06-xx_xx/C:02_xx+xx/D:02+xx_xx/E:3_1!0_xx-1/F:9_5#0_xx@3_3|8_18/G:6_4%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
