0 4925000 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_20/K:2+7-34
4925000 6025000 xx^sil-k+a=n/A:0+1+4/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_20/G:6_1%0_xx_1/H:xx_xx/I:4-20@1+2&1-7|1+34/J:3_14/K:2+7-34
6025000 6324999 sil^k-a+n=o/A:0+1+4/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_20/G:6_1%0_xx_1/H:xx_xx/I:4-20@1+2&1-7|1+34/J:3_14/K:2+7-34
6324999 6925000 k^a-n+o=j/A:1+2+3/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_20/G:6_1%0_xx_1/H:xx_xx/I:4-20@1+2&1-7|1+34/J:3_14/K:2+7-34
6925000 7725000 a^n-o+j=o/A:1+2+3/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_20/G:6_1%0_xx_1/H:xx_xx/I:4-20@1+2&1-7|1+34/J:3_14/K:2+7-34
7725000 8625000 n^o-j+o=w/A:2+3+2/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_20/G:6_1%0_xx_1/H:xx_xx/I:4-20@1+2&1-7|1+34/J:3_14/K:2+7-34
8625000 9025000 o^j-o+w=a/A:2+3+2/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_20/G:6_1%0_xx_1/H:xx_xx/I:4-20@1+2&1-7|1+34/J:3_14/K:2+7-34
9025000 9325000 j^o-w+a=m/A:3+4+1/B:04-xx_xx/C:24_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_20/G:6_1%0_xx_1/H:xx_xx/I:4-20@1+2&1-7|1+34/J:3_14/K:2+7-34
9325000 9625000 o^w-a+m=o/A:3+4+1/B:04-xx_xx/C:24_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_20/G:6_1%0_xx_1/H:xx_xx/I:4-20@1+2&1-7|1+34/J:3_14/K:2+7-34
9625000 11125000 w^a-m+o=o/A:0+1+6/B:24-xx_xx/C:18_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:6_1#0_xx@2_3|5_16/G:7_3%0_xx_1/H:xx_xx/I:4-20@1+2&1-7|1+34/J:3_14/K:2+7-34
11125000 12425000 a^m-o+o=ts/A:0+1+6/B:24-xx_xx/C:18_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:6_1#0_xx@2_3|5_16/G:7_3%0_xx_1/H:xx_xx/I:4-20@1+2&1-7|1+34/J:3_14/K:2+7-34
12425000 13725000 m^o-o+ts=a/A:1+2+5/B:24-xx_xx/C:18_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:6_1#0_xx@2_3|5_16/G:7_3%0_xx_1/H:xx_xx/I:4-20@1+2&1-7|1+34/J:3_14/K:2+7-34
13725000 14725000 o^o-ts+a=r/A:2+3+4/B:24-xx_xx/C:18_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:6_1#0_xx@2_3|5_16/G:7_3%0_xx_1/H:xx_xx/I:4-20@1+2&1-7|1+34/J:3_14/K:2+7-34
14725000 15325000 o^ts-a+r=u/A:2+3+4/B:24-xx_xx/C:18_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:6_1#0_xx@2_3|5_16/G:7_3%0_xx_1/H:xx_xx/I:4-20@1+2&1-7|1+34/J:3_14/K:2+7-34
