0 2425000 xx^xx-sil+w=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:11_36/K:1+11-36
2425000 2725000 xx^sil-w+a=t/A:-3+1+4/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_11|1_36/G:4_4%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
2725000 3325000 sil^w-a+t=a/A:-3+1+4/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_11|1_36/G:4_4%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
3325000 4325000 w^a-t+a=sh/A:-2+2+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_11|1_36/G:4_4%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
4325000 4625000 a^t-a+sh=i/A:-2+2+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_11|1_36/G:4_4%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
4625000 5825000 t^a-sh+i=n/A:-1+3+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_11|1_36/G:4_4%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
5825000 6125000 a^sh-i+n=o/A:-1+3+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_11|1_36/G:4_4%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
6125000 6625000 sh^i-n+o=i/A:0+4+1/B:04-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_11|1_36/G:4_4%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
6625000 7225000 i^n-o+i=ch/A:0+4+1/B:04-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_11|1_36/G:4_4%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
7225000 8025000 n^o-i+ch=i/A:-3+1+4/B:23-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@2_10|5_32/G:3_3%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
8025000 9325000 o^i-ch+i=b/A:-2+2+3/B:23-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@2_10|5_32/G:3_3%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
9325000 9725000 i^ch-i+b=a/A:-2+2+3/B:23-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@2_10|5_32/G:3_3%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
9725000 10225000 ch^i-b+a=N/A:-1+3+2/B:23-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@2_10|5_32/G:3_3%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
10225000 11425000 i^b-a+N=u/A:-1+3+2/B:23-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@2_10|5_32/G:3_3%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
11425000 11924999 b^a-N+u=e/A:0+4+1/B:23-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@2_10|5_32/G:3_3%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
11924999 12425000 a^N-u+e=n/A:-2+1+3/B:02-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@3_9|9_28/G:3_1%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
12425000 13225000 N^u-e+n=o/A:-1+2+2/B:02-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@3_9|9_28/G:3_1%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
13225000 13925000 u^e-n+o=a/A:0+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@3_9|9_28/G:3_1%0_xx_1/H:xx_xx/I:11-36@1+1&1-11|1+36/J:xx_xx/K:1+11-36
