0 3525000 xx^xx-sil+j=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_12/K:3+14-50
3525000 4425000 xx^sil-j+i=gy/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_12/G:4_4%0_xx_1/H:xx_xx/I:3-12@1+3&1-14|1+50/J:5_16/K:3+14-50
4425000 5225000 sil^j-i+gy=o/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_12/G:4_4%0_xx_1/H:xx_xx/I:3-12@1+3&1-14|1+50/J:5_16/K:3+14-50
5225000 6125000 j^i-gy+o=o/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_12/G:4_4%0_xx_1/H:xx_xx/I:3-12@1+3&1-14|1+50/J:5_16/K:3+14-50
6125000 7524999 i^gy-o+o=o/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_12/G:4_4%0_xx_1/H:xx_xx/I:3-12@1+3&1-14|1+50/J:5_16/K:3+14-50
7524999 8325000 gy^o-o+o=k/A:2+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_12/G:4_4%0_xx_1/H:xx_xx/I:3-12@1+3&1-14|1+50/J:5_16/K:3+14-50
8325000 9325000 o^o-o+k=e/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_12/G:4_4%0_xx_1/H:xx_xx/I:3-12@1+3&1-14|1+50/J:5_16/K:3+14-50
9325000 10225000 o^o-k+e=e/A:-3+1+4/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_8/G:4_2%0_xx_1/H:xx_xx/I:3-12@1+3&1-14|1+50/J:5_16/K:3+14-50
10225000 11225000 o^k-e+e=z/A:-3+1+4/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_8/G:4_2%0_xx_1/H:xx_xx/I:3-12@1+3&1-14|1+50/J:5_16/K:3+14-50
11225000 11725000 k^e-e+z=o/A:-2+2+3/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_8/G:4_2%0_xx_1/H:xx_xx/I:3-12@1+3&1-14|1+50/J:5_16/K:3+14-50
11725000 12325000 e^e-z+o=k/A:-1+3+2/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_8/G:4_2%0_xx_1/H:xx_xx/I:3-12@1+3&1-14|1+50/J:5_16/K:3+14-50
