0 5825000 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_12/K:2+6-22
5825000 6725000 xx^sil-k+a=r/A:0+1+3/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_3|1_12/G:4_1%0_xx_1/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
6725000 7125000 sil^k-a+r=e/A:0+1+3/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_3|1_12/G:4_1%0_xx_1/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
7125000 7425000 k^a-r+e=w/A:1+2+2/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_3|1_12/G:4_1%0_xx_1/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
7425000 8525000 a^r-e+w=a/A:1+2+2/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_3|1_12/G:4_1%0_xx_1/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
8525000 9125000 r^e-w+a=py/A:2+3+1/B:04-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_3|1_12/G:4_1%0_xx_1/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
9125000 10225000 e^w-a+py=u/A:2+3+1/B:04-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_3|1_12/G:4_1%0_xx_1/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
10225000 11825000 w^a-py+u=u/A:0+1+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_2|4_9/G:5_2%0_xx_1/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
11825000 12425000 a^py-u+u=m/A:0+1+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_2|4_9/G:5_2%0_xx_1/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
12425000 13125000 py^u-u+m=a/A:1+2+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_2|4_9/G:5_2%0_xx_1/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
13125000 13425000 u^u-m+a=o/A:2+3+2/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_2|4_9/G:5_2%0_xx_1/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
13425000 14825000 u^m-a+o=n/A:2+3+2/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_2|4_9/G:5_2%0_xx_1/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
14825000 15525000 m^a-o+n=a/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:3_1!0_xx-1/F:4_1#0_xx@2_2|4_9/G:5_2%0_xx_1/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
15525000 16125000 a^o-n+a=r/A:-1+1+5/B:13-xx_xx/C:20_1+2/D:12+xx_xx/E:4_1!0_xx-1/F:5_2#0_xx@3_1|8_5/G:4_1%0_xx_0/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
16125000 16925000 o^n-a+r=a/A:-1+1+5/B:13-xx_xx/C:20_1+2/D:12+xx_xx/E:4_1!0_xx-1/F:5_2#0_xx@3_1|8_5/G:4_1%0_xx_0/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
16925000 17225000 n^a-r+a=s/A:0+2+4/B:13-xx_xx/C:20_1+2/D:12+xx_xx/E:4_1!0_xx-1/F:5_2#0_xx@3_1|8_5/G:4_1%0_xx_0/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
17225000 18225000 a^r-a+s=u/A:0+2+4/B:13-xx_xx/C:20_1+2/D:12+xx_xx/E:4_1!0_xx-1/F:5_2#0_xx@3_1|8_5/G:4_1%0_xx_0/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
18225000 18525000 r^a-s+u=n/A:1+3+3/B:13-xx_xx/C:20_1+2/D:12+xx_xx/E:4_1!0_xx-1/F:5_2#0_xx@3_1|8_5/G:4_1%0_xx_0/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
18525000 19225000 a^s-u+n=o/A:1+3+3/B:13-xx_xx/C:20_1+2/D:12+xx_xx/E:4_1!0_xx-1/F:5_2#0_xx@3_1|8_5/G:4_1%0_xx_0/H:xx_xx/I:3-12@1+2&1-6|1+22/J:3_10/K:2+6-22
