0 2125000 xx^xx-sil+w=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_18/K:2+7-26
2125000 2525000 xx^sil-w+a=t/A:-2+1+6/B:xx-xx_xx/C:04_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
2525000 3125000 sil^w-a+t=a/A:-2+1+6/B:xx-xx_xx/C:04_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
3125000 3825000 w^a-t+a=sh/A:-1+2+5/B:xx-xx_xx/C:04_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
3825000 4525000 a^t-a+sh=i/A:-1+2+5/B:xx-xx_xx/C:04_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
4525000 4925000 t^a-sh+i=t/A:0+3+4/B:xx-xx_xx/C:04_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
4925000 5225000 a^sh-i+t=a/A:0+3+4/B:xx-xx_xx/C:04_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
5225000 6125000 sh^i-t+a=ch/A:1+4+3/B:04-xx_xx/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
6125000 6625000 i^t-a+ch=i/A:1+4+3/B:04-xx_xx/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
6625000 7524999 t^a-ch+i=w/A:2+5+2/B:04-xx_xx/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
7524999 7825000 a^ch-i+w=a/A:2+5+2/B:04-xx_xx/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
7825000 8325000 ch^i-w+a=ky/A:3+6+1/B:15-xx_xx/C:24_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
8325000 9725000 i^w-a+ky=o/A:3+6+1/B:15-xx_xx/C:24_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
9725000 10725000 w^a-ky+o=o/A:0+1+4/B:24-xx_xx/C:03_xx+xx/D:23+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@2_4|7_12/G:3_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
10725000 12024999 a^ky-o+o=f/A:0+1+4/B:24-xx_xx/C:03_xx+xx/D:23+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@2_4|7_12/G:3_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
12024999 12925000 ky^o-o+f=u/A:1+2+3/B:24-xx_xx/C:03_xx+xx/D:23+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@2_4|7_12/G:3_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
12925000 13225000 o^o-f+u=n/A:2+3+2/B:24-xx_xx/C:03_xx+xx/D:23+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@2_4|7_12/G:3_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
13225000 13925000 o^f-u+n=o/A:2+3+2/B:24-xx_xx/C:03_xx+xx/D:23+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@2_4|7_12/G:3_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
13925000 14524999 f^u-n+o=n/A:3+4+1/B:03-xx_xx/C:23_xx+xx/D:22+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@2_4|7_12/G:3_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
14524999 15125000 u^n-o+n=a/A:3+4+1/B:03-xx_xx/C:23_xx+xx/D:22+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@2_4|7_12/G:3_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
15125000 15925000 n^o-n+a=k/A:0+1+3/B:23-xx_xx/C:22_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_1#0_xx@3_3|11_8/G:3_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
15925000 16525000 o^n-a+k=a/A:0+1+3/B:23-xx_xx/C:22_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_1#0_xx@3_3|11_8/G:3_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
16525000 17025000 n^a-k+a=d/A:1+2+2/B:23-xx_xx/C:22_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_1#0_xx@3_3|11_8/G:3_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
17025000 17525000 a^k-a+d=e/A:1+2+2/B:23-xx_xx/C:22_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:3_1#0_xx@3_3|11_8/G:3_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
17525000 17925000 k^a-d+e=i/A:2+3+1/B:22-xx_xx/C:13_xx+xx/D:20+3_1/E:4_1!0_xx-1/F:3_1#0_xx@3_3|11_8/G:3_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
17925000 19025000 a^d-e+i=k/A:2+3+1/B:22-xx_xx/C:13_xx+xx/D:20+3_1/E:4_1!0_xx-1/F:3_1#0_xx@3_3|11_8/G:3_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
19025000 19325000 d^e-i+k=i/A:-1+1+3/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:3_1!0_xx-1/F:3_2#0_xx@4_2|14_5/G:2_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
19325000 19725000 e^i-k+i=t/A:0+2+2/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:3_1!0_xx-1/F:3_2#0_xx@4_2|14_5/G:2_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-7|1+26/J:2_8/K:2+7-26
