0 3825000 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_21/K:2+9-34
3825000 4825000 xx^sil-k+a=n/A:0+1+4/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_21/G:4_4%0_xx_1/H:xx_xx/I:5-21@1+2&1-9|1+34/J:4_13/K:2+9-34
4825000 5125000 sil^k-a+n=o/A:0+1+4/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_21/G:4_4%0_xx_1/H:xx_xx/I:5-21@1+2&1-9|1+34/J:4_13/K:2+9-34
5125000 5825000 k^a-n+o=j/A:1+2+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_21/G:4_4%0_xx_1/H:xx_xx/I:5-21@1+2&1-9|1+34/J:4_13/K:2+9-34
5825000 6525000 a^n-o+j=o/A:1+2+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_21/G:4_4%0_xx_1/H:xx_xx/I:5-21@1+2&1-9|1+34/J:4_13/K:2+9-34
6525000 7325000 n^o-j+o=n/A:2+3+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_21/G:4_4%0_xx_1/H:xx_xx/I:5-21@1+2&1-9|1+34/J:4_13/K:2+9-34
7325000 7825000 o^j-o+n=o/A:2+3+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_21/G:4_4%0_xx_1/H:xx_xx/I:5-21@1+2&1-9|1+34/J:4_13/K:2+9-34
7825000 8525000 j^o-n+o=m/A:3+4+1/B:04-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_21/G:4_4%0_xx_1/H:xx_xx/I:5-21@1+2&1-9|1+34/J:4_13/K:2+9-34
8525000 9025000 o^n-o+m=i/A:3+4+1/B:04-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_21/G:4_4%0_xx_1/H:xx_xx/I:5-21@1+2&1-9|1+34/J:4_13/K:2+9-34
9025000 10125000 n^o-m+i=ry/A:-3+1+4/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@2_4|5_17/G:5_3%0_xx_1/H:xx_xx/I:5-21@1+2&1-9|1+34/J:4_13/K:2+9-34
10125000 10525000 o^m-i+ry=o/A:-3+1+4/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@2_4|5_17/G:5_3%0_xx_1/H:xx_xx/I:5-21@1+2&1-9|1+34/J:4_13/K:2+9-34
10525000 11525000 m^i-ry+o=k/A:-2+2+3/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@2_4|5_17/G:5_3%0_xx_1/H:xx_xx/I:5-21@1+2&1-9|1+34/J:4_13/K:2+9-34
11525000 11924999 i^ry-o+k=u/A:-2+2+3/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@2_4|5_17/G:5_3%0_xx_1/H:xx_xx/I:5-21@1+2&1-9|1+34/J:4_13/K:2+9-34
