0 1424999 xx^xx-sil+s=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_10/K:3+12-54
1424999 2925000 xx^sil-s+o=n/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_10/G:8_6%0_xx_1/H:xx_xx/I:2-10@1+3&1-12|1+54/J:6_25/K:3+12-54
2925000 3425000 sil^s-o+n=o/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_10/G:8_6%0_xx_1/H:xx_xx/I:2-10@1+3&1-12|1+54/J:6_25/K:3+12-54
3425000 4025000 s^o-n+o=s/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_10/G:8_6%0_xx_1/H:xx_xx/I:2-10@1+3&1-12|1+54/J:6_25/K:3+12-54
4025000 4325000 o^n-o+s=u/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_10/G:8_6%0_xx_1/H:xx_xx/I:2-10@1+3&1-12|1+54/J:6_25/K:3+12-54
4325000 5925000 n^o-s+u=u/A:-5+1+8/B:07-xx_xx/C:05_xx+xx/D:05+xx_xx/E:2_2!0_xx-1/F:8_6#0_xx@2_1|3_8/G:4_1%0_xx_0/H:xx_xx/I:2-10@1+3&1-12|1+54/J:6_25/K:3+12-54
5925000 6225000 o^s-u+u=hy/A:-5+1+8/B:07-xx_xx/C:05_xx+xx/D:05+xx_xx/E:2_2!0_xx-1/F:8_6#0_xx@2_1|3_8/G:4_1%0_xx_0/H:xx_xx/I:2-10@1+3&1-12|1+54/J:6_25/K:3+12-54
6225000 6925000 s^u-u+hy=a/A:-4+2+7/B:07-xx_xx/C:05_xx+xx/D:05+xx_xx/E:2_2!0_xx-1/F:8_6#0_xx@2_1|3_8/G:4_1%0_xx_0/H:xx_xx/I:2-10@1+3&1-12|1+54/J:6_25/K:3+12-54
6925000 8025000 u^u-hy+a=k/A:-3+3+6/B:05-xx_xx/C:05_xx+xx/D:15+xx_xx/E:2_2!0_xx-1/F:8_6#0_xx@2_1|3_8/G:4_1%0_xx_0/H:xx_xx/I:2-10@1+3&1-12|1+54/J:6_25/K:3+12-54
8025000 8625000 u^hy-a+k=u/A:-3+3+6/B:05-xx_xx/C:05_xx+xx/D:15+xx_xx/E:2_2!0_xx-1/F:8_6#0_xx@2_1|3_8/G:4_1%0_xx_0/H:xx_xx/I:2-10@1+3&1-12|1+54/J:6_25/K:3+12-54
8625000 9225000 hy^a-k+u=n/A:-2+4+5/B:05-xx_xx/C:05_xx+xx/D:15+xx_xx/E:2_2!0_xx-1/F:8_6#0_xx@2_1|3_8/G:4_1%0_xx_0/H:xx_xx/I:2-10@1+3&1-12|1+54/J:6_25/K:3+12-54
