0 2824999 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_16/K:2+10-41
2824999 3725000 xx^sil-k+a=n/A:0+1+4/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_16/G:5_5%0_xx_1/H:xx_xx/I:4-16@1+2&1-10|1+41/J:6_25/K:2+10-41
3725000 4125000 sil^k-a+n=o/A:0+1+4/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_16/G:5_5%0_xx_1/H:xx_xx/I:4-16@1+2&1-10|1+41/J:6_25/K:2+10-41
4125000 4825000 k^a-n+o=j/A:1+2+3/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_16/G:5_5%0_xx_1/H:xx_xx/I:4-16@1+2&1-10|1+41/J:6_25/K:2+10-41
4825000 5625000 a^n-o+j=o/A:1+2+3/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_16/G:5_5%0_xx_1/H:xx_xx/I:4-16@1+2&1-10|1+41/J:6_25/K:2+10-41
5625000 6324999 n^o-j+o=w/A:2+3+2/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_16/G:5_5%0_xx_1/H:xx_xx/I:4-16@1+2&1-10|1+41/J:6_25/K:2+10-41
6324999 6725000 o^j-o+w=a/A:2+3+2/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_16/G:5_5%0_xx_1/H:xx_xx/I:4-16@1+2&1-10|1+41/J:6_25/K:2+10-41
6725000 7125000 j^o-w+a=d/A:3+4+1/B:04-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_16/G:5_5%0_xx_1/H:xx_xx/I:4-16@1+2&1-10|1+41/J:6_25/K:2+10-41
7125000 7725000 o^w-a+d=a/A:3+4+1/B:04-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_16/G:5_5%0_xx_1/H:xx_xx/I:4-16@1+2&1-10|1+41/J:6_25/K:2+10-41
7725000 8325000 w^a-d+a=i/A:-4+1+5/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@2_3|5_12/G:4_4%0_xx_1/H:xx_xx/I:4-16@1+2&1-10|1+41/J:6_25/K:2+10-41
8325000 9425000 a^d-a+i=g/A:-4+1+5/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:5_5#0_xx@2_3|5_12/G:4_4%0_xx_1/H:xx_xx/I:4-16@1+2&1-10|1+41/J:6_25/K:2+10-41
