0 425000 xx^xx-sil+t=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:10_7%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_32/K:1+7-32
425000 1024999 xx^sil-t+o=r/A:-6+1+10/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:10_7#0_xx@1_7|1_32/G:5_3%0_xx_1/H:xx_xx/I:7-32@1+1&1-7|1+32/J:xx_xx/K:1+7-32
1024999 1325000 sil^t-o+r=a/A:-6+1+10/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:10_7#0_xx@1_7|1_32/G:5_3%0_xx_1/H:xx_xx/I:7-32@1+1&1-7|1+32/J:xx_xx/K:1+7-32
1325000 2025000 t^o-r+a=b/A:-5+2+9/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:10_7#0_xx@1_7|1_32/G:5_3%0_xx_1/H:xx_xx/I:7-32@1+1&1-7|1+32/J:xx_xx/K:1+7-32
2025000 2625000 o^r-a+b=e/A:-5+2+9/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:10_7#0_xx@1_7|1_32/G:5_3%0_xx_1/H:xx_xx/I:7-32@1+1&1-7|1+32/J:xx_xx/K:1+7-32
2625000 3025000 r^a-b+e=r/A:-4+3+8/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:10_7#0_xx@1_7|1_32/G:5_3%0_xx_1/H:xx_xx/I:7-32@1+1&1-7|1+32/J:xx_xx/K:1+7-32
3025000 3625000 a^b-e+r=a/A:-4+3+8/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:10_7#0_xx@1_7|1_32/G:5_3%0_xx_1/H:xx_xx/I:7-32@1+1&1-7|1+32/J:xx_xx/K:1+7-32
3625000 4325000 b^e-r+a=a/A:-3+4+7/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:10_7#0_xx@1_7|1_32/G:5_3%0_xx_1/H:xx_xx/I:7-32@1+1&1-7|1+32/J:xx_xx/K:1+7-32
4325000 4925000 e^r-a+a=z/A:-3+4+7/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:10_7#0_xx@1_7|1_32/G:5_3%0_xx_1/H:xx_xx/I:7-32@1+1&1-7|1+32/J:xx_xx/K:1+7-32
4925000 5225000 r^a-a+z=u/A:-2+5+6/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:10_7#0_xx@1_7|1_32/G:5_3%0_xx_1/H:xx_xx/I:7-32@1+1&1-7|1+32/J:xx_xx/K:1+7-32
5225000 5625000 a^a-z+u=ch/A:-1+6+5/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:10_7#0_xx@1_7|1_32/G:5_3%0_xx_1/H:xx_xx/I:7-32@1+1&1-7|1+32/J:xx_xx/K:1+7-32
