0 4325000 xx^xx-sil+h=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_10/K:3+11-40
4325000 5225000 xx^sil-h+o=cl/A:-4+1+5/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_10/G:5_5%0_xx_1/H:xx_xx/I:2-10@1+3&1-11|1+40/J:5_16/K:3+11-40
5225000 6125000 sil^h-o+cl=k/A:-4+1+5/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_10/G:5_5%0_xx_1/H:xx_xx/I:2-10@1+3&1-11|1+40/J:5_16/K:3+11-40
6125000 6825000 h^o-cl+k=a/A:-3+2+4/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_10/G:5_5%0_xx_1/H:xx_xx/I:2-10@1+3&1-11|1+40/J:5_16/K:3+11-40
6825000 7425000 o^cl-k+a=i/A:-2+3+3/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_10/G:5_5%0_xx_1/H:xx_xx/I:2-10@1+3&1-11|1+40/J:5_16/K:3+11-40
7425000 8225000 cl^k-a+i=n/A:-2+3+3/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_10/G:5_5%0_xx_1/H:xx_xx/I:2-10@1+3&1-11|1+40/J:5_16/K:3+11-40
8225000 8625000 k^a-i+n=o/A:-1+4+2/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_10/G:5_5%0_xx_1/H:xx_xx/I:2-10@1+3&1-11|1+40/J:5_16/K:3+11-40
8625000 9425000 a^i-n+o=a/A:0+5+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_10/G:5_5%0_xx_1/H:xx_xx/I:2-10@1+3&1-11|1+40/J:5_16/K:3+11-40
9425000 9825000 i^n-o+a=r/A:0+5+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_10/G:5_5%0_xx_1/H:xx_xx/I:2-10@1+3&1-11|1+40/J:5_16/K:3+11-40
9825000 10725000 n^o-a+r=a/A:-4+1+5/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:5_5!0_xx-1/F:5_5#0_xx@2_1|6_5/G:2_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-11|1+40/J:5_16/K:3+11-40
10725000 11125000 o^a-r+a=n/A:-3+2+4/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:5_5!0_xx-1/F:5_5#0_xx@2_1|6_5/G:2_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-11|1+40/J:5_16/K:3+11-40
11125000 11924999 a^r-a+n=a/A:-3+2+4/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:5_5!0_xx-1/F:5_5#0_xx@2_1|6_5/G:2_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-11|1+40/J:5_16/K:3+11-40
