0 6125000 xx^xx-sil+sh=I/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:08+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_3/K:3+16-53
6125000 6925000 xx^sil-sh+I=k/A:-1+1+3/B:xx-xx_xx/C:08_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_1|1_3/G:4_4%0_xx_0/H:xx_xx/I:1-3@1+3&1-16|1+53/J:10_32/K:3+16-53
6925000 7225000 sil^sh-I+k=a/A:-1+1+3/B:xx-xx_xx/C:08_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_1|1_3/G:4_4%0_xx_0/H:xx_xx/I:1-3@1+3&1-16|1+53/J:10_32/K:3+16-53
7225000 7725000 sh^I-k+a=sh/A:0+2+2/B:xx-xx_xx/C:08_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_1|1_3/G:4_4%0_xx_0/H:xx_xx/I:1-3@1+3&1-16|1+53/J:10_32/K:3+16-53
7725000 8325000 I^k-a+sh=i/A:0+2+2/B:xx-xx_xx/C:08_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_1|1_3/G:4_4%0_xx_0/H:xx_xx/I:1-3@1+3&1-16|1+53/J:10_32/K:3+16-53
8325000 9525000 k^a-sh+i=pau/A:1+3+1/B:xx-xx_xx/C:08_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_1|1_3/G:4_4%0_xx_0/H:xx_xx/I:1-3@1+3&1-16|1+53/J:10_32/K:3+16-53
9525000 11025000 a^sh-i+pau=k/A:1+3+1/B:xx-xx_xx/C:08_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_1|1_3/G:4_4%0_xx_0/H:xx_xx/I:1-3@1+3&1-16|1+53/J:10_32/K:3+16-53
11025000 12325000 sh^i-pau+k=o/A:xx+xx+xx/B:08-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:3_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:1_3/I:xx-xx@xx+xx&xx-xx|xx+xx/J:10_32/K:3+16-53
12325000 13525000 i^pau-k+o=r/A:-3+1+4/B:08-xx_xx/C:04_xx+xx/D:13+xx_xx/E:3_2!0_xx-0/F:4_4#0_xx@1_10|1_32/G:3_3%0_xx_1/H:1_3/I:10-32@2+2&2-15|4+50/J:5_18/K:3+16-53
13525000 13925000 pau^k-o+r=e/A:-3+1+4/B:08-xx_xx/C:04_xx+xx/D:13+xx_xx/E:3_2!0_xx-0/F:4_4#0_xx@1_10|1_32/G:3_3%0_xx_1/H:1_3/I:10-32@2+2&2-15|4+50/J:5_18/K:3+16-53
13925000 14825000 k^o-r+e=d/A:-2+2+3/B:08-xx_xx/C:04_xx+xx/D:13+xx_xx/E:3_2!0_xx-0/F:4_4#0_xx@1_10|1_32/G:3_3%0_xx_1/H:1_3/I:10-32@2+2&2-15|4+50/J:5_18/K:3+16-53
14825000 15525000 o^r-e+d=e/A:-2+2+3/B:08-xx_xx/C:04_xx+xx/D:13+xx_xx/E:3_2!0_xx-0/F:4_4#0_xx@1_10|1_32/G:3_3%0_xx_1/H:1_3/I:10-32@2+2&2-15|4+50/J:5_18/K:3+16-53
15525000 15825000 r^e-d+e=w/A:-1+3+2/B:04-xx_xx/C:13_xx+xx/D:24+xx_xx/E:3_2!0_xx-0/F:4_4#0_xx@1_10|1_32/G:3_3%0_xx_1/H:1_3/I:10-32@2+2&2-15|4+50/J:5_18/K:3+16-53
15825000 16425000 e^d-e+w=a/A:-1+3+2/B:04-xx_xx/C:13_xx+xx/D:24+xx_xx/E:3_2!0_xx-0/F:4_4#0_xx@1_10|1_32/G:3_3%0_xx_1/H:1_3/I:10-32@2+2&2-15|4+50/J:5_18/K:3+16-53
16425000 16725000 d^e-w+a=m/A:0+4+1/B:13-xx_xx/C:24_xx+xx/D:06+xx_xx/E:3_2!0_xx-0/F:4_4#0_xx@1_10|1_32/G:3_3%0_xx_1/H:1_3/I:10-32@2+2&2-15|4+50/J:5_18/K:3+16-53
16725000 17625000 e^w-a+m=a/A:0+4+1/B:13-xx_xx/C:24_xx+xx/D:06+xx_xx/E:3_2!0_xx-0/F:4_4#0_xx@1_10|1_32/G:3_3%0_xx_1/H:1_3/I:10-32@2+2&2-15|4+50/J:5_18/K:3+16-53
17625000 18525000 w^a-m+a=r/A:-2+1+3/B:24-xx_xx/C:06_xx+xx/D:04+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@2_9|5_28/G:4_4%0_xx_1/H:1_3/I:10-32@2+2&2-15|4+50/J:5_18/K:3+16-53
18525000 19125000 a^m-a+r=u/A:-2+1+3/B:24-xx_xx/C:06_xx+xx/D:04+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@2_9|5_28/G:4_4%0_xx_1/H:1_3/I:10-32@2+2&2-15|4+50/J:5_18/K:3+16-53
19125000 19625000 m^a-r+u=d/A:-1+2+2/B:24-xx_xx/C:06_xx+xx/D:04+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@2_9|5_28/G:4_4%0_xx_1/H:1_3/I:10-32@2+2&2-15|4+50/J:5_18/K:3+16-53
