0 2125000 xx^xx-sil+sh=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:8_33/K:1+8-33
2125000 3125000 xx^sil-sh+i=r/A:-2+1+6/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_8|1_33/G:4_1%0_xx_1/H:xx_xx/I:8-33@1+1&1-8|1+33/J:xx_xx/K:1+8-33
3125000 3525000 sil^sh-i+r=u/A:-2+1+6/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_8|1_33/G:4_1%0_xx_1/H:xx_xx/I:8-33@1+1&1-8|1+33/J:xx_xx/K:1+8-33
3525000 3825000 sh^i-r+u=b/A:-1+2+5/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_8|1_33/G:4_1%0_xx_1/H:xx_xx/I:8-33@1+1&1-8|1+33/J:xx_xx/K:1+8-33
3825000 5024999 i^r-u+b=i/A:-1+2+5/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_8|1_33/G:4_1%0_xx_1/H:xx_xx/I:8-33@1+1&1-8|1+33/J:xx_xx/K:1+8-33
5024999 5525000 r^u-b+i=u/A:0+3+4/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_8|1_33/G:4_1%0_xx_1/H:xx_xx/I:8-33@1+1&1-8|1+33/J:xx_xx/K:1+8-33
5525000 6425000 u^b-i+u=s/A:0+3+4/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_8|1_33/G:4_1%0_xx_1/H:xx_xx/I:8-33@1+1&1-8|1+33/J:xx_xx/K:1+8-33
6425000 7025000 b^i-u+s=u/A:1+4+3/B:18-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_8|1_33/G:4_1%0_xx_1/H:xx_xx/I:8-33@1+1&1-8|1+33/J:xx_xx/K:1+8-33
7025000 8525000 i^u-s+u=w/A:2+5+2/B:18-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_8|1_33/G:4_1%0_xx_1/H:xx_xx/I:8-33@1+1&1-8|1+33/J:xx_xx/K:1+8-33
8525000 8825000 u^s-u+w=a/A:2+5+2/B:18-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_8|1_33/G:4_1%0_xx_1/H:xx_xx/I:8-33@1+1&1-8|1+33/J:xx_xx/K:1+8-33
8825000 9825000 s^u-w+a=dy/A:3+6+1/B:02-xx_xx/C:24_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_8|1_33/G:4_1%0_xx_1/H:xx_xx/I:8-33@1+1&1-8|1+33/J:xx_xx/K:1+8-33
