0 2325000 xx^xx-sil+w=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_15/K:2+7-25
2325000 2824999 xx^sil-w+a=t/A:-3+1+4/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_15/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
2824999 3525000 sil^w-a+t=a/A:-3+1+4/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_15/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
3525000 4025000 w^a-t+a=sh/A:-2+2+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_15/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
4025000 4325000 a^t-a+sh=i/A:-2+2+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_15/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
4325000 5325000 t^a-sh+i=n/A:-1+3+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_15/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
5325000 5725000 a^sh-i+n=o/A:-1+3+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_15/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
5725000 6025000 sh^i-n+o=t/A:0+4+1/B:04-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_15/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
6025000 7125000 i^n-o+t=e/A:0+4+1/B:04-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_15/G:2_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
7125000 7524999 n^o-t+e=o/A:0+1+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:2_1#0_xx@2_4|5_11/G:4_3%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
7524999 7925000 o^t-e+o=h/A:0+1+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:2_1#0_xx@2_4|5_11/G:4_3%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
7925000 9025000 t^e-o+h=i/A:1+2+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:4_4!0_xx-1/F:2_1#0_xx@2_4|5_11/G:4_3%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
9025000 10025000 e^o-h+i=cl/A:-2+1+4/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:2_1!0_xx-1/F:4_3#0_xx@3_3|7_9/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
10025000 11125000 o^h-i+cl=p/A:-2+1+4/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:2_1!0_xx-1/F:4_3#0_xx@3_3|7_9/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
11125000 11525000 h^i-cl+p=a/A:-1+2+3/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:2_1!0_xx-1/F:4_3#0_xx@3_3|7_9/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
11525000 12024999 i^cl-p+a=r/A:0+3+2/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:2_1!0_xx-1/F:4_3#0_xx@3_3|7_9/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
12024999 12525000 cl^p-a+r=u/A:0+3+2/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:2_1!0_xx-1/F:4_3#0_xx@3_3|7_9/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
12525000 12825000 p^a-r+u=y/A:1+4+1/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:2_1!0_xx-1/F:4_3#0_xx@3_3|7_9/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
12825000 13125000 a^r-u+y=o/A:1+4+1/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:2_1!0_xx-1/F:4_3#0_xx@3_3|7_9/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-7|1+25/J:2_10/K:2+7-25
