0 5024999 xx^xx-sil+k=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_20/K:1+6-20
5024999 5825000 xx^sil-k+o=n/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_6|1_20/G:2_2%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
5825000 6525000 sil^k-o+n=o/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_6|1_20/G:2_2%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
6525000 6825000 k^o-n+o=s/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_6|1_20/G:2_2%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
6825000 7225000 o^n-o+s=a/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_6|1_20/G:2_2%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
7225000 8125000 n^o-s+a=k/A:-1+1+2/B:07-xx_xx/C:02_xx+xx/D:05+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@2_5|3_18/G:5_2%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
8125000 8725000 o^s-a+k=I/A:-1+1+2/B:07-xx_xx/C:02_xx+xx/D:05+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@2_5|3_18/G:5_2%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
8725000 9625000 s^a-k+I=hy/A:0+2+1/B:07-xx_xx/C:02_xx+xx/D:05+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@2_5|3_18/G:5_2%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
9625000 9925000 a^k-I+hy=a/A:0+2+1/B:07-xx_xx/C:02_xx+xx/D:05+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@2_5|3_18/G:5_2%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
9925000 10825000 k^I-hy+a=k/A:-1+1+5/B:02-xx_xx/C:05_xx+xx/D:15+xx_xx/E:2_2!0_xx-1/F:5_2#0_xx@3_4|5_16/G:4_4%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
10825000 11625000 I^hy-a+k=u/A:-1+1+5/B:02-xx_xx/C:05_xx+xx/D:15+xx_xx/E:2_2!0_xx-1/F:5_2#0_xx@3_4|5_16/G:4_4%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
