0 2025000 xx^xx-sil+m=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:16+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_27/K:4+15-64
2025000 2725000 xx^sil-m+a=N/A:-1+1+5/B:xx-xx_xx/C:16_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_27/G:7_3%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
2725000 3225000 sil^m-a+N=sh/A:-1+1+5/B:xx-xx_xx/C:16_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_27/G:7_3%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
3225000 4225000 m^a-N+sh=u/A:0+2+4/B:xx-xx_xx/C:16_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_27/G:7_3%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
4225000 5625000 a^N-sh+u=u/A:1+3+3/B:16-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_27/G:7_3%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
5625000 6525000 N^sh-u+u=w/A:1+3+3/B:16-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_27/G:7_3%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
6525000 7225000 sh^u-u+w=a/A:2+4+2/B:16-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_27/G:7_3%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
7225000 8325000 u^u-w+a=u/A:3+5+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_27/G:7_3%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
8325000 9525000 u^w-a+u=k/A:3+5+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_27/G:7_3%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
9525000 9825000 w^a-u+k=i/A:-2+1+7/B:24-xx_xx/C:02_xx+xx/D:22+xx_xx/E:5_2!0_xx-1/F:7_3#0_xx@2_5|6_22/G:3_1%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
9825000 12125000 a^u-k+i=i/A:-1+2+6/B:24-xx_xx/C:02_xx+xx/D:22+xx_xx/E:5_2!0_xx-1/F:7_3#0_xx@2_5|6_22/G:3_1%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
12125000 12525000 u^k-i+i=g/A:-1+2+6/B:24-xx_xx/C:02_xx+xx/D:22+xx_xx/E:5_2!0_xx-1/F:7_3#0_xx@2_5|6_22/G:3_1%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
12525000 13925000 k^i-i+g=a/A:0+3+5/B:02-xx_xx/C:22_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:7_3#0_xx@2_5|6_22/G:3_1%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
13925000 14225000 i^i-g+a=i/A:1+4+4/B:02-xx_xx/C:22_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:7_3#0_xx@2_5|6_22/G:3_1%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
14225000 15225000 i^g-a+i=n/A:1+4+4/B:02-xx_xx/C:22_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:7_3#0_xx@2_5|6_22/G:3_1%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
15225000 15625000 g^a-i+n=i/A:2+5+3/B:02-xx_xx/C:22_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:7_3#0_xx@2_5|6_22/G:3_1%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
15625000 16225000 a^i-n+i=w/A:3+6+2/B:22-xx_xx/C:13_xx+xx/D:24+xx_xx/E:5_2!0_xx-1/F:7_3#0_xx@2_5|6_22/G:3_1%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
16225000 16525000 i^n-i+w=a/A:3+6+2/B:22-xx_xx/C:13_xx+xx/D:24+xx_xx/E:5_2!0_xx-1/F:7_3#0_xx@2_5|6_22/G:3_1%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
16525000 17525000 n^i-w+a=a/A:4+7+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:5_2!0_xx-1/F:7_3#0_xx@2_5|6_22/G:3_1%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
17525000 18525000 i^w-a+a=m/A:4+7+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:5_2!0_xx-1/F:7_3#0_xx@2_5|6_22/G:3_1%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
18525000 19625000 w^a-a+m=e/A:0+1+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:7_3!0_xx-1/F:3_1#0_xx@3_4|13_15/G:5_3%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
19625000 20225000 a^a-m+e=g/A:1+2+2/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:7_3!0_xx-1/F:3_1#0_xx@3_4|13_15/G:5_3%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
20225000 21025000 a^m-e+g=a/A:1+2+2/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:7_3!0_xx-1/F:3_1#0_xx@3_4|13_15/G:5_3%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
21025000 21425000 m^e-g+a=s/A:2+3+1/B:02-xx_xx/C:13_xx+xx/D:01+7_2/E:7_3!0_xx-1/F:3_1#0_xx@3_4|13_15/G:5_3%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
21425000 21725000 e^g-a+s=U/A:2+3+1/B:02-xx_xx/C:13_xx+xx/D:01+7_2/E:7_3!0_xx-1/F:3_1#0_xx@3_4|13_15/G:5_3%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
21725000 22925000 g^a-s+U=k/A:-2+1+5/B:13-xx_xx/C:01_7+2/D:13+xx_xx/E:3_1!0_xx-1/F:5_3#0_xx@4_3|16_12/G:4_4%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
22925000 23224999 a^s-U+k=u/A:-2+1+5/B:13-xx_xx/C:01_7+2/D:13+xx_xx/E:3_1!0_xx-1/F:5_3#0_xx@4_3|16_12/G:4_4%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
23224999 23625000 s^U-k+u=n/A:-1+2+4/B:13-xx_xx/C:01_7+2/D:13+xx_xx/E:3_1!0_xx-1/F:5_3#0_xx@4_3|16_12/G:4_4%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
23625000 24425000 U^k-u+n=a/A:-1+2+4/B:13-xx_xx/C:01_7+2/D:13+xx_xx/E:3_1!0_xx-1/F:5_3#0_xx@4_3|16_12/G:4_4%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
24425000 24825000 k^u-n+a=i/A:0+3+3/B:13-xx_xx/C:01_7+2/D:13+xx_xx/E:3_1!0_xx-1/F:5_3#0_xx@4_3|16_12/G:4_4%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
24825000 25724999 u^n-a+i=t/A:0+3+3/B:13-xx_xx/C:01_7+2/D:13+xx_xx/E:3_1!0_xx-1/F:5_3#0_xx@4_3|16_12/G:4_4%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
25724999 26525000 n^a-i+t=o/A:1+4+2/B:13-xx_xx/C:01_7+2/D:13+xx_xx/E:3_1!0_xx-1/F:5_3#0_xx@4_3|16_12/G:4_4%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
26525000 27125000 a^i-t+o=i/A:2+5+1/B:01-7_2/C:13_xx+xx/D:20+1_0/E:3_1!0_xx-1/F:5_3#0_xx@4_3|16_12/G:4_4%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
27125000 27425000 i^t-o+i=w/A:2+5+1/B:01-7_2/C:13_xx+xx/D:20+1_0/E:3_1!0_xx-1/F:5_3#0_xx@4_3|16_12/G:4_4%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
27425000 28325000 t^o-i+w=a/A:-3+1+4/B:13-xx_xx/C:20_1+0/D:15+3_1/E:5_3!0_xx-1/F:4_4#0_xx@5_2|21_7/G:3_3%0_xx_1/H:xx_xx/I:6-27@1+4&1-15|1+64/J:4_15/K:4+15-64
