0 2725000 xx^xx-sil+h=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_18/K:1+4-18
2725000 3425000 xx^sil-h+a=r/A:0+1+3/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_4|1_18/G:2_2%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
3425000 3925000 sil^h-a+r=u/A:0+1+3/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_4|1_18/G:2_2%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
3925000 4625000 h^a-r+u=k/A:1+2+2/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_4|1_18/G:2_2%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
4625000 5225000 a^r-u+k=i/A:1+2+2/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_4|1_18/G:2_2%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
5225000 5825000 r^u-k+i=z/A:2+3+1/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_4|1_18/G:2_2%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
5825000 6425000 u^k-i+z=a/A:2+3+1/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_4|1_18/G:2_2%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
6425000 7025000 k^i-z+a=w/A:-1+1+2/B:18-xx_xx/C:02_xx+xx/D:24+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@2_3|4_15/G:5_1%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
7025000 7625000 i^z-a+w=a/A:-1+1+2/B:18-xx_xx/C:02_xx+xx/D:24+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@2_3|4_15/G:5_1%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
7625000 8125000 z^a-w+a=k/A:0+2+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@2_3|4_15/G:5_1%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
8125000 9025000 a^w-a+k=o/A:0+2+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@2_3|4_15/G:5_1%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
