0 625000 xx^xx-sil+m=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:11_9%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_11/K:2+9-44
625000 1024999 xx^sil-m+o=z/A:-8+1+11/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_1|1_11/G:5_5%0_xx_0/H:xx_xx/I:1-11@1+2&1-9|1+44/J:8_33/K:2+9-44
1024999 1724999 sil^m-o+z=o/A:-8+1+11/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_1|1_11/G:5_5%0_xx_0/H:xx_xx/I:1-11@1+2&1-9|1+44/J:8_33/K:2+9-44
1724999 2625000 m^o-z+o=o/A:-7+2+10/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_1|1_11/G:5_5%0_xx_0/H:xx_xx/I:1-11@1+2&1-9|1+44/J:8_33/K:2+9-44
2625000 3525000 o^z-o+o=h/A:-7+2+10/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_1|1_11/G:5_5%0_xx_0/H:xx_xx/I:1-11@1+2&1-9|1+44/J:8_33/K:2+9-44
3525000 4225000 z^o-o+h=i/A:-6+3+9/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_1|1_11/G:5_5%0_xx_0/H:xx_xx/I:1-11@1+2&1-9|1+44/J:8_33/K:2+9-44
4225000 5325000 o^o-h+i=N/A:-5+4+8/B:03-xx_xx/C:15_xx+xx/D:11+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_1|1_11/G:5_5%0_xx_0/H:xx_xx/I:1-11@1+2&1-9|1+44/J:8_33/K:2+9-44
5325000 5925000 o^h-i+N=b/A:-5+4+8/B:03-xx_xx/C:15_xx+xx/D:11+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_1|1_11/G:5_5%0_xx_0/H:xx_xx/I:1-11@1+2&1-9|1+44/J:8_33/K:2+9-44
5925000 6525000 h^i-N+b=a/A:-4+5+7/B:03-xx_xx/C:15_xx+xx/D:11+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_1|1_11/G:5_5%0_xx_0/H:xx_xx/I:1-11@1+2&1-9|1+44/J:8_33/K:2+9-44
6525000 7325000 i^N-b+a=k/A:-3+6+6/B:15-xx_xx/C:11_xx+xx/D:10+7_1/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_1|1_11/G:5_5%0_xx_0/H:xx_xx/I:1-11@1+2&1-9|1+44/J:8_33/K:2+9-44
7325000 8025000 N^b-a+k=a/A:-3+6+6/B:15-xx_xx/C:11_xx+xx/D:10+7_1/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_1|1_11/G:5_5%0_xx_0/H:xx_xx/I:1-11@1+2&1-9|1+44/J:8_33/K:2+9-44
