0 6625000 xx^xx-sil+sh=I/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:08+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_22/K:1+5-22
6625000 7325000 xx^sil-sh+I=k/A:-1+1+3/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_22/G:4_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
7325000 7625000 sil^sh-I+k=a/A:-1+1+3/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_22/G:4_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
7625000 8225000 sh^I-k+a=sh/A:0+2+2/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_22/G:4_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
8225000 8825000 I^k-a+sh=I/A:0+2+2/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_22/G:4_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
8825000 9825000 k^a-sh+I=hy/A:1+3+1/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_22/G:4_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
9825000 10125000 a^sh-I+hy=o/A:1+3+1/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_22/G:4_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
10125000 11025000 sh^I-hy+o=o/A:0+1+4/B:08-xx_xx/C:02_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@2_4|4_19/G:7_7%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
11025000 12425000 I^hy-o+o=g/A:0+1+4/B:08-xx_xx/C:02_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@2_4|4_19/G:7_7%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
12425000 12925000 hy^o-o+g=a/A:1+2+3/B:08-xx_xx/C:02_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@2_4|4_19/G:7_7%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
12925000 13525000 o^o-g+a=w/A:2+3+2/B:08-xx_xx/C:02_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@2_4|4_19/G:7_7%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
13525000 14225000 o^g-a+w=a/A:2+3+2/B:08-xx_xx/C:02_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@2_4|4_19/G:7_7%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
14225000 14825000 g^a-w+a=a/A:3+4+1/B:02-xx_xx/C:24_xx+xx/D:18+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@2_4|4_19/G:7_7%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
14825000 15925000 a^w-a+a=r/A:3+4+1/B:02-xx_xx/C:24_xx+xx/D:18+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@2_4|4_19/G:7_7%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
15925000 16225000 w^a-a+r=u/A:-6+1+7/B:24-xx_xx/C:18_xx+xx/D:11+xx_xx/E:4_1!0_xx-1/F:7_7#0_xx@3_3|8_15/G:2_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
16225000 17125000 a^a-r+u=p/A:-5+2+6/B:24-xx_xx/C:18_xx+xx/D:11+xx_xx/E:4_1!0_xx-1/F:7_7#0_xx@3_3|8_15/G:2_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
17125000 17625000 a^r-u+p=U/A:-5+2+6/B:24-xx_xx/C:18_xx+xx/D:11+xx_xx/E:4_1!0_xx-1/F:7_7#0_xx@3_3|8_15/G:2_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
17625000 17925000 r^u-p+U=s/A:-4+3+5/B:24-xx_xx/C:18_xx+xx/D:11+xx_xx/E:4_1!0_xx-1/F:7_7#0_xx@3_3|8_15/G:2_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
17925000 18925000 u^p-U+s=u/A:-4+3+5/B:24-xx_xx/C:18_xx+xx/D:11+xx_xx/E:4_1!0_xx-1/F:7_7#0_xx@3_3|8_15/G:2_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
