0 2325000 xx^xx-sil+k=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_26/K:1+7-26
2325000 3325000 xx^sil-k+o=n/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_7|1_26/G:6_4%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
3325000 3925000 sil^k-o+n=o/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_7|1_26/G:6_4%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
3925000 4525000 k^o-n+o=j/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_7|1_26/G:6_4%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
4525000 4925000 o^n-o+j=i/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_7|1_26/G:6_4%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
4925000 5825000 n^o-j+i=gy/A:-3+1+6/B:07-xx_xx/C:02_xx+xx/D:15+xx_xx/E:2_2!0_xx-1/F:6_4#0_xx@2_6|3_24/G:4_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
5825000 6324999 o^j-i+gy=o/A:-3+1+6/B:07-xx_xx/C:02_xx+xx/D:15+xx_xx/E:2_2!0_xx-1/F:6_4#0_xx@2_6|3_24/G:4_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
6324999 7625000 j^i-gy+o=o/A:-2+2+5/B:07-xx_xx/C:02_xx+xx/D:15+xx_xx/E:2_2!0_xx-1/F:6_4#0_xx@2_6|3_24/G:4_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
7625000 8025000 i^gy-o+o=sh/A:-2+2+5/B:07-xx_xx/C:02_xx+xx/D:15+xx_xx/E:2_2!0_xx-1/F:6_4#0_xx@2_6|3_24/G:4_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
8025000 9125000 gy^o-o+sh=o/A:-1+3+4/B:07-xx_xx/C:02_xx+xx/D:15+xx_xx/E:2_2!0_xx-1/F:6_4#0_xx@2_6|3_24/G:4_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
9125000 9425000 o^o-sh+o=n/A:0+4+3/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:6_4#0_xx@2_6|3_24/G:4_2%0_xx_1/H:xx_xx/I:7-26@1+1&1-7|1+26/J:xx_xx/K:1+7-26
