0 1925000 xx^xx-sil+ky=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_17/K:2+8-28
1925000 2525000 xx^sil-ky+a=t/A:-3+1+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_17/G:3_3%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
2525000 3025000 sil^ky-a+t=a/A:-3+1+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_17/G:3_3%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
3025000 3825000 ky^a-t+a=ts/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_17/G:3_3%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
3825000 4325000 a^t-a+ts=u/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_17/G:3_3%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
4325000 5125000 t^a-ts+u=n/A:-1+3+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_17/G:3_3%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
5125000 5525000 a^ts-u+n=o/A:-1+3+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_17/G:3_3%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
5525000 6025000 ts^u-n+o=u/A:0+4+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_17/G:3_3%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
6025000 7425000 u^n-o+u=e/A:0+4+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_17/G:3_3%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
7425000 8125000 n^o-u+e=d/A:-2+1+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@2_4|5_13/G:4_1%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
8125000 8725000 o^u-e+d=e/A:-1+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@2_4|5_13/G:4_1%0_xx_1/H:xx_xx/I:5-17@1+2&1-8|1+28/J:3_11/K:2+8-28
