0 6225000 xx^xx-sil+k=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_26/K:2+10-39
6225000 6825000 xx^sil-k+o=N/A:0+1+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_6|1_26/G:7_4%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
6825000 7524999 sil^k-o+N=k/A:0+1+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_6|1_26/G:7_4%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
7524999 8325000 k^o-N+k=a/A:1+2+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_6|1_26/G:7_4%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
8325000 9025000 o^N-k+a=i/A:2+3+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_6|1_26/G:7_4%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
9025000 10025000 N^k-a+i=n/A:2+3+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_6|1_26/G:7_4%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
10025000 10325000 k^a-i+n=o/A:3+4+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_6|1_26/G:7_4%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
10325000 10925000 a^i-n+o=sh/A:4+5+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_6|1_26/G:7_4%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
10925000 11225000 i^n-o+sh=i/A:4+5+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_6|1_26/G:7_4%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
11225000 12725000 n^o-sh+i=ry/A:-3+1+7/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_1!0_xx-1/F:7_4#0_xx@2_5|6_21/G:3_2%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
12725000 13325000 o^sh-i+ry=o/A:-3+1+7/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_1!0_xx-1/F:7_4#0_xx@2_5|6_21/G:3_2%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
13325000 14025000 sh^i-ry+o=o/A:-2+2+6/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_1!0_xx-1/F:7_4#0_xx@2_5|6_21/G:3_2%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
14025000 14925000 i^ry-o+o=z/A:-2+2+6/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_1!0_xx-1/F:7_4#0_xx@2_5|6_21/G:3_2%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
14925000 15825000 ry^o-o+z=u/A:-1+3+5/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_1!0_xx-1/F:7_4#0_xx@2_5|6_21/G:3_2%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
15825000 16225000 o^o-z+u=k/A:0+4+4/B:02-xx_xx/C:15_xx+xx/D:24+xx_xx/E:5_1!0_xx-1/F:7_4#0_xx@2_5|6_21/G:3_2%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
16225000 16625000 o^z-u+k=u/A:0+4+4/B:02-xx_xx/C:15_xx+xx/D:24+xx_xx/E:5_1!0_xx-1/F:7_4#0_xx@2_5|6_21/G:3_2%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
16625000 17125000 z^u-k+u=r/A:1+5+3/B:02-xx_xx/C:15_xx+xx/D:24+xx_xx/E:5_1!0_xx-1/F:7_4#0_xx@2_5|6_21/G:3_2%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
17125000 17425000 u^k-u+r=i/A:1+5+3/B:02-xx_xx/C:15_xx+xx/D:24+xx_xx/E:5_1!0_xx-1/F:7_4#0_xx@2_5|6_21/G:3_2%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
17425000 17725000 k^u-r+i=w/A:2+6+2/B:02-xx_xx/C:15_xx+xx/D:24+xx_xx/E:5_1!0_xx-1/F:7_4#0_xx@2_5|6_21/G:3_2%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
17725000 18925000 u^r-i+w=a/A:2+6+2/B:02-xx_xx/C:15_xx+xx/D:24+xx_xx/E:5_1!0_xx-1/F:7_4#0_xx@2_5|6_21/G:3_2%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
18925000 19625000 r^i-w+a=f/A:3+7+1/B:15-xx_xx/C:24_xx+xx/D:01+7_2/E:5_1!0_xx-1/F:7_4#0_xx@2_5|6_21/G:3_2%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
19625000 21325000 i^w-a+f=U/A:3+7+1/B:15-xx_xx/C:24_xx+xx/D:01+7_2/E:5_1!0_xx-1/F:7_4#0_xx@2_5|6_21/G:3_2%0_xx_1/H:xx_xx/I:6-26@1+2&1-10|1+39/J:4_13/K:2+10-39
