0 1724999 xx^xx-sil+s=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:08+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_3/K:2+5-20
1724999 2725000 xx^sil-s+o=sh/A:-2+1+3/B:xx-xx_xx/C:08_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:4_1%0_xx_0/H:xx_xx/I:1-3@1+2&1-5|1+20/J:4_17/K:2+5-20
2725000 3325000 sil^s-o+sh=I/A:-2+1+3/B:xx-xx_xx/C:08_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:4_1%0_xx_0/H:xx_xx/I:1-3@1+2&1-5|1+20/J:4_17/K:2+5-20
3325000 4225000 s^o-sh+I=t/A:-1+2+2/B:xx-xx_xx/C:08_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:4_1%0_xx_0/H:xx_xx/I:1-3@1+2&1-5|1+20/J:4_17/K:2+5-20
4225000 4525000 o^sh-I+t=e/A:-1+2+2/B:xx-xx_xx/C:08_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:4_1%0_xx_0/H:xx_xx/I:1-3@1+2&1-5|1+20/J:4_17/K:2+5-20
4525000 4925000 sh^I-t+e=pau/A:0+3+1/B:xx-xx_xx/C:08_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:4_1%0_xx_0/H:xx_xx/I:1-3@1+2&1-5|1+20/J:4_17/K:2+5-20
4925000 6324999 I^t-e+pau=s/A:0+3+1/B:xx-xx_xx/C:08_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:4_1%0_xx_0/H:xx_xx/I:1-3@1+2&1-5|1+20/J:4_17/K:2+5-20
6324999 6625000 t^e-pau+s=a/A:xx+xx+xx/B:08-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:3_3!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:1_3/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_17/K:2+5-20
6625000 7725000 e^pau-s+a=ky/A:0+1+4/B:08-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_3!0_xx-0/F:4_1#0_xx@1_4|1_17/G:4_2%0_xx_1/H:1_3/I:4-17@2+1&2-4|4+17/J:xx_xx/K:2+5-20
7725000 8425000 pau^s-a+ky=o/A:0+1+4/B:08-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_3!0_xx-0/F:4_1#0_xx@1_4|1_17/G:4_2%0_xx_1/H:1_3/I:4-17@2+1&2-4|4+17/J:xx_xx/K:2+5-20
8425000 9625000 s^a-ky+o=o/A:1+2+3/B:08-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_3!0_xx-0/F:4_1#0_xx@1_4|1_17/G:4_2%0_xx_1/H:1_3/I:4-17@2+1&2-4|4+17/J:xx_xx/K:2+5-20
9625000 10725000 a^ky-o+o=t/A:1+2+3/B:08-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_3!0_xx-0/F:4_1#0_xx@1_4|1_17/G:4_2%0_xx_1/H:1_3/I:4-17@2+1&2-4|4+17/J:xx_xx/K:2+5-20
10725000 11125000 ky^o-o+t=o/A:2+3+2/B:08-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_3!0_xx-0/F:4_1#0_xx@1_4|1_17/G:4_2%0_xx_1/H:1_3/I:4-17@2+1&2-4|4+17/J:xx_xx/K:2+5-20
