0 3725000 xx^xx-sil+g=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_12/K:1+3-12
3725000 4325000 xx^sil-g+a=r/A:-2+1+5/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_3|1_12/G:4_3%0_xx_1/H:xx_xx/I:3-12@1+1&1-3|1+12/J:xx_xx/K:1+3-12
4325000 5125000 sil^g-a+r=u/A:-2+1+5/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_3|1_12/G:4_3%0_xx_1/H:xx_xx/I:3-12@1+1&1-3|1+12/J:xx_xx/K:1+3-12
5125000 5725000 g^a-r+u=h/A:-1+2+4/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_3|1_12/G:4_3%0_xx_1/H:xx_xx/I:3-12@1+1&1-3|1+12/J:xx_xx/K:1+3-12
5725000 6025000 a^r-u+h=a/A:-1+2+4/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_3|1_12/G:4_3%0_xx_1/H:xx_xx/I:3-12@1+1&1-3|1+12/J:xx_xx/K:1+3-12
6025000 7025000 r^u-h+a=k/A:0+3+3/B:18-xx_xx/C:02_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_3|1_12/G:4_3%0_xx_1/H:xx_xx/I:3-12@1+1&1-3|1+12/J:xx_xx/K:1+3-12
7025000 7524999 u^h-a+k=a/A:0+3+3/B:18-xx_xx/C:02_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_3|1_12/G:4_3%0_xx_1/H:xx_xx/I:3-12@1+1&1-3|1+12/J:xx_xx/K:1+3-12
7524999 8225000 h^a-k+a=s/A:1+4+2/B:18-xx_xx/C:02_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_3|1_12/G:4_3%0_xx_1/H:xx_xx/I:3-12@1+1&1-3|1+12/J:xx_xx/K:1+3-12
8225000 8825000 a^k-a+s=e/A:1+4+2/B:18-xx_xx/C:02_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_3|1_12/G:4_3%0_xx_1/H:xx_xx/I:3-12@1+1&1-3|1+12/J:xx_xx/K:1+3-12
8825000 9825000 k^a-s+e=hy/A:2+5+1/B:18-xx_xx/C:02_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_3|1_12/G:4_3%0_xx_1/H:xx_xx/I:3-12@1+1&1-3|1+12/J:xx_xx/K:1+3-12
9825000 11525000 a^s-e+hy=a/A:2+5+1/B:18-xx_xx/C:02_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_3|1_12/G:4_3%0_xx_1/H:xx_xx/I:3-12@1+1&1-3|1+12/J:xx_xx/K:1+3-12
