0 3925000 xx^xx-sil+sh=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:9_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_32/K:1+6-32
3925000 4625000 xx^sil-sh+i=N/A:-4+1+9/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_6|1_32/G:6_2%0_xx_1/H:xx_xx/I:6-32@1+1&1-6|1+32/J:xx_xx/K:1+6-32
4625000 5325000 sil^sh-i+N=m/A:-4+1+9/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_6|1_32/G:6_2%0_xx_1/H:xx_xx/I:6-32@1+1&1-6|1+32/J:xx_xx/K:1+6-32
5325000 6425000 sh^i-N+m=i/A:-3+2+8/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_6|1_32/G:6_2%0_xx_1/H:xx_xx/I:6-32@1+1&1-6|1+32/J:xx_xx/K:1+6-32
6425000 6725000 i^N-m+i=s/A:-2+3+7/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_6|1_32/G:6_2%0_xx_1/H:xx_xx/I:6-32@1+1&1-6|1+32/J:xx_xx/K:1+6-32
6725000 7524999 N^m-i+s=e/A:-2+3+7/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_6|1_32/G:6_2%0_xx_1/H:xx_xx/I:6-32@1+1&1-6|1+32/J:xx_xx/K:1+6-32
7524999 8825000 m^i-s+e=o/A:-1+4+6/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_6|1_32/G:6_2%0_xx_1/H:xx_xx/I:6-32@1+1&1-6|1+32/J:xx_xx/K:1+6-32
8825000 10725000 i^s-e+o=o/A:-1+4+6/B:xx-xx_xx/C:02_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_6|1_32/G:6_2%0_xx_1/H:xx_xx/I:6-32@1+1&1-6|1+32/J:xx_xx/K:1+6-32
10725000 11825000 s^e-o+o=p/A:0+5+5/B:02-xx_xx/C:03_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_6|1_32/G:6_2%0_xx_1/H:xx_xx/I:6-32@1+1&1-6|1+32/J:xx_xx/K:1+6-32
11825000 12725000 e^o-o+p=u/A:1+6+4/B:02-xx_xx/C:03_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_6|1_32/G:6_2%0_xx_1/H:xx_xx/I:6-32@1+1&1-6|1+32/J:xx_xx/K:1+6-32
12725000 13325000 o^o-p+u=N/A:2+7+3/B:02-xx_xx/C:03_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_6|1_32/G:6_2%0_xx_1/H:xx_xx/I:6-32@1+1&1-6|1+32/J:xx_xx/K:1+6-32
