0 925000 xx^xx-sil+p=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:7_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_20/K:1+3-20
925000 1724999 xx^sil-p+e=r/A:-2+1+7/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_3|1_20/G:6_1%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
1724999 2725000 sil^p-e+r=i/A:-2+1+7/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_3|1_20/G:6_1%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
2725000 3025000 p^e-r+i=w/A:-1+2+6/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_3|1_20/G:6_1%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
3025000 4225000 e^r-i+w=i/A:-1+2+6/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_3|1_20/G:6_1%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
4225000 4525000 r^i-w+i=N/A:0+3+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_3|1_20/G:6_1%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
4525000 5225000 i^w-i+N=k/A:0+3+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_3|1_20/G:6_1%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
5225000 6425000 w^i-N+k=u/A:1+4+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_3|1_20/G:6_1%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
6425000 7225000 i^N-k+u=r/A:2+5+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_3|1_20/G:6_1%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
7225000 7625000 N^k-u+r=u/A:2+5+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_3|1_20/G:6_1%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
7625000 8125000 k^u-r+u=y/A:3+6+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_3|1_20/G:6_1%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
8125000 8425000 u^r-u+y=a/A:3+6+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_3|1_20/G:6_1%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
8425000 9525000 r^u-y+a=p/A:4+7+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_3|1_20/G:6_1%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
9525000 11625000 u^y-a+p=u/A:4+7+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_3|1_20/G:6_1%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
11625000 13325000 y^a-p+u=r/A:0+1+6/B:23-xx_xx/C:02_xx+xx/D:18+xx_xx/E:7_3!0_xx-1/F:6_1#0_xx@2_2|8_13/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
13325000 13625000 a^p-u+r=a/A:0+1+6/B:23-xx_xx/C:02_xx+xx/D:18+xx_xx/E:7_3!0_xx-1/F:6_1#0_xx@2_2|8_13/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
13625000 14225000 p^u-r+a=N/A:1+2+5/B:23-xx_xx/C:02_xx+xx/D:18+xx_xx/E:7_3!0_xx-1/F:6_1#0_xx@2_2|8_13/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
14225000 15125000 u^r-a+N=t/A:1+2+5/B:23-xx_xx/C:02_xx+xx/D:18+xx_xx/E:7_3!0_xx-1/F:6_1#0_xx@2_2|8_13/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
15125000 16125000 r^a-N+t=i/A:2+3+4/B:23-xx_xx/C:02_xx+xx/D:18+xx_xx/E:7_3!0_xx-1/F:6_1#0_xx@2_2|8_13/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
16125000 16725000 a^N-t+i=N/A:3+4+3/B:02-xx_xx/C:18_xx+xx/D:24+xx_xx/E:7_3!0_xx-1/F:6_1#0_xx@2_2|8_13/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
