0 3625000 xx^xx-sil+h=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_3/K:2+6-33
3625000 4025000 xx^sil-h+o=s/A:0+1+3/B:xx-xx_xx/C:03_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_1|1_3/G:13_9%0_xx_0/H:xx_xx/I:1-3@1+2&1-6|1+33/J:5_30/K:2+6-33
4025000 4425000 sil^h-o+s=a/A:0+1+3/B:xx-xx_xx/C:03_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_1|1_3/G:13_9%0_xx_0/H:xx_xx/I:1-3@1+2&1-6|1+33/J:5_30/K:2+6-33
4425000 5325000 h^o-s+a=g/A:1+2+2/B:xx-xx_xx/C:03_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_1|1_3/G:13_9%0_xx_0/H:xx_xx/I:1-3@1+2&1-6|1+33/J:5_30/K:2+6-33
5325000 6025000 o^s-a+g=a/A:1+2+2/B:xx-xx_xx/C:03_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_1|1_3/G:13_9%0_xx_0/H:xx_xx/I:1-3@1+2&1-6|1+33/J:5_30/K:2+6-33
6025000 6525000 s^a-g+a=pau/A:2+3+1/B:03-xx_xx/C:13_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_1|1_3/G:13_9%0_xx_0/H:xx_xx/I:1-3@1+2&1-6|1+33/J:5_30/K:2+6-33
6525000 7625000 a^g-a+pau=i/A:2+3+1/B:03-xx_xx/C:13_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_1|1_3/G:13_9%0_xx_0/H:xx_xx/I:1-3@1+2&1-6|1+33/J:5_30/K:2+6-33
7625000 8525000 g^a-pau+i=cl/A:xx+xx+xx/B:13-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:3_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:13_9%0_xx_xx/H:1_3/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_30/K:2+6-33
8525000 8825000 a^pau-i+cl=s/A:-8+1+13/B:13-xx_xx/C:02_xx+xx/D:02+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
8825000 9225000 pau^i-cl+s=a/A:-7+2+12/B:13-xx_xx/C:02_xx+xx/D:02+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
9225000 10425000 i^cl-s+a=N/A:-6+3+11/B:13-xx_xx/C:02_xx+xx/D:02+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
10425000 11025000 cl^s-a+N=k/A:-6+3+11/B:13-xx_xx/C:02_xx+xx/D:02+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
11025000 11525000 s^a-N+k=a/A:-5+4+10/B:13-xx_xx/C:02_xx+xx/D:02+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
11525000 12125000 a^N-k+a=t/A:-4+5+9/B:13-xx_xx/C:02_xx+xx/D:02+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
12125000 12625000 N^k-a+t=a/A:-4+5+9/B:13-xx_xx/C:02_xx+xx/D:02+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
12625000 13125000 k^a-t+a=N/A:-3+6+8/B:02-xx_xx/C:02_xx+xx/D:03+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
13125000 14025000 a^t-a+N=s/A:-3+6+8/B:02-xx_xx/C:02_xx+xx/D:03+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
14025000 14325000 t^a-N+s=o/A:-2+7+7/B:02-xx_xx/C:02_xx+xx/D:03+xx_xx/E:3_1!0_xx-0/F:13_9#0_xx@1_5|1_30/G:3_1%0_xx_1/H:1_3/I:5-30@2+1&2-5|4+30/J:xx_xx/K:2+6-33
