0 3625000 xx^xx-sil+t=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_20/K:1+4-20
3625000 4125000 xx^sil-t+e=N/A:-2+1+6/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:2_2%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
4125000 5125000 sil^t-e+N=j/A:-2+1+6/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:2_2%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
5125000 5825000 t^e-N+j=i/A:-1+2+5/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:2_2%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
5825000 6425000 e^N-j+i=k/A:0+3+4/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:2_2%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
6425000 7125000 N^j-i+k=a/A:0+3+4/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:2_2%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
7125000 7625000 j^i-k+a=i/A:1+4+3/B:03-xx_xx/C:15_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:2_2%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
7625000 8925000 i^k-a+i=d/A:1+4+3/B:03-xx_xx/C:15_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:2_2%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
8925000 9225000 k^a-i+d=e/A:2+5+2/B:03-xx_xx/C:15_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:2_2%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
9225000 9625000 a^i-d+e=a/A:3+6+1/B:15-xx_xx/C:13_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:2_2%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
9625000 9925000 i^d-e+a=n/A:3+6+1/B:15-xx_xx/C:13_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:2_2%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
9925000 11025000 d^e-a+n=o/A:-1+1+2/B:13-xx_xx/C:07_xx+xx/D:02+xx_xx/E:6_3!0_xx-1/F:2_2#0_xx@2_3|7_14/G:6_5%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
11025000 11725000 e^a-n+o=s/A:0+2+1/B:13-xx_xx/C:07_xx+xx/D:02+xx_xx/E:6_3!0_xx-1/F:2_2#0_xx@2_3|7_14/G:6_5%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
11725000 12125000 a^n-o+s=a/A:0+2+1/B:13-xx_xx/C:07_xx+xx/D:02+xx_xx/E:6_3!0_xx-1/F:2_2#0_xx@2_3|7_14/G:6_5%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
12125000 13125000 n^o-s+a=k/A:-4+1+6/B:07-xx_xx/C:02_xx+xx/D:11+xx_xx/E:2_2!0_xx-1/F:6_5#0_xx@3_2|9_12/G:6_6%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
13125000 13725000 o^s-a+k=U/A:-4+1+6/B:07-xx_xx/C:02_xx+xx/D:11+xx_xx/E:2_2!0_xx-1/F:6_5#0_xx@3_2|9_12/G:6_6%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
13725000 14325000 s^a-k+U=h/A:-3+2+5/B:07-xx_xx/C:02_xx+xx/D:11+xx_xx/E:2_2!0_xx-1/F:6_5#0_xx@3_2|9_12/G:6_6%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
14325000 14625000 a^k-U+h=i/A:-3+2+5/B:07-xx_xx/C:02_xx+xx/D:11+xx_xx/E:2_2!0_xx-1/F:6_5#0_xx@3_2|9_12/G:6_6%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
14625000 14925000 k^U-h+i=N/A:-2+3+4/B:07-xx_xx/C:02_xx+xx/D:11+xx_xx/E:2_2!0_xx-1/F:6_5#0_xx@3_2|9_12/G:6_6%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
14925000 15925000 U^h-i+N=n/A:-2+3+4/B:07-xx_xx/C:02_xx+xx/D:11+xx_xx/E:2_2!0_xx-1/F:6_5#0_xx@3_2|9_12/G:6_6%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
