0 3925000 xx^xx-sil+s=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_22/K:1+6-22
3925000 5125000 xx^sil-s+e=N/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_22/G:4_4%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
5125000 5525000 sil^s-e+N=i/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_22/G:4_4%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
5525000 7225000 s^e-N+i=o/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_22/G:4_4%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
7225000 7524999 e^N-i+o=s/A:2+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_22/G:4_4%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
7524999 8325000 N^i-o+s=o/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_22/G:4_4%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
8325000 9625000 i^o-s+o=o/A:-3+1+4/B:13-xx_xx/C:03_xx+xx/D:20+4_0/E:4_1!0_xx-1/F:4_4#0_xx@2_5|5_18/G:3_3%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
9625000 11025000 o^s-o+o=sh/A:-3+1+4/B:13-xx_xx/C:03_xx+xx/D:20+4_0/E:4_1!0_xx-1/F:4_4#0_xx@2_5|5_18/G:3_3%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
11025000 11725000 s^o-o+sh=I/A:-2+2+3/B:13-xx_xx/C:03_xx+xx/D:20+4_0/E:4_1!0_xx-1/F:4_4#0_xx@2_5|5_18/G:3_3%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
11725000 12024999 o^o-sh+I=ts/A:-1+3+2/B:13-xx_xx/C:03_xx+xx/D:20+4_0/E:4_1!0_xx-1/F:4_4#0_xx@2_5|5_18/G:3_3%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
12024999 12725000 o^sh-I+ts=u/A:-1+3+2/B:13-xx_xx/C:03_xx+xx/D:20+4_0/E:4_1!0_xx-1/F:4_4#0_xx@2_5|5_18/G:3_3%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
12725000 13025000 sh^I-ts+u=s/A:0+4+1/B:13-xx_xx/C:03_xx+xx/D:20+4_0/E:4_1!0_xx-1/F:4_4#0_xx@2_5|5_18/G:3_3%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
13025000 14025000 I^ts-u+s=a/A:0+4+1/B:13-xx_xx/C:03_xx+xx/D:20+4_0/E:4_1!0_xx-1/F:4_4#0_xx@2_5|5_18/G:3_3%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
