0 3125000 xx^xx-sil+y=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:8_29/K:1+8-29
3125000 3925000 xx^sil-y+a=g/A:-2+1+3/B:xx-xx_xx/C:06_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_8|1_29/G:7_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
3925000 4425000 sil^y-a+g=a/A:-2+1+3/B:xx-xx_xx/C:06_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_8|1_29/G:7_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
4425000 4725000 y^a-g+a=t/A:-1+2+2/B:xx-xx_xx/C:06_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_8|1_29/G:7_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
4725000 5725000 a^g-a+t=e/A:-1+2+2/B:xx-xx_xx/C:06_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_8|1_29/G:7_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
5725000 6225000 g^a-t+e=b/A:0+3+1/B:xx-xx_xx/C:06_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_8|1_29/G:7_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
6225000 7025000 a^t-e+b=a/A:0+3+1/B:xx-xx_xx/C:06_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_8|1_29/G:7_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
7025000 7425000 t^e-b+a=i/A:-3+1+7/B:06-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-1/F:7_4#0_xx@2_7|4_26/G:4_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
7425000 8425000 e^b-a+i=sh/A:-3+1+7/B:06-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-1/F:7_4#0_xx@2_7|4_26/G:4_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
8425000 9025000 b^a-i+sh=i/A:-2+2+6/B:06-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-1/F:7_4#0_xx@2_7|4_26/G:4_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
9025000 10025000 a^i-sh+i=N/A:-1+3+5/B:06-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-1/F:7_4#0_xx@2_7|4_26/G:4_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
10025000 10925000 i^sh-i+N=i/A:-1+3+5/B:06-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-1/F:7_4#0_xx@2_7|4_26/G:4_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
10925000 11325000 sh^i-N+i=N/A:0+4+4/B:06-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-1/F:7_4#0_xx@2_7|4_26/G:4_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
11325000 12125000 i^N-i+N=w/A:1+5+3/B:02-xx_xx/C:15_xx+xx/D:24+xx_xx/E:3_3!0_xx-1/F:7_4#0_xx@2_7|4_26/G:4_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
