0 4025000 xx^xx-sil+f=u/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:8_27/K:1+8-27
4025000 5325000 xx^sil-f+u=e/A:-2+1+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_8|1_27/G:3_2%0_xx_1/H:xx_xx/I:8-27@1+1&1-8|1+27/J:xx_xx/K:1+8-27
5325000 6125000 sil^f-u+e=n/A:-2+1+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_8|1_27/G:3_2%0_xx_1/H:xx_xx/I:8-27@1+1&1-8|1+27/J:xx_xx/K:1+8-27
6125000 6925000 f^u-e+n=o/A:-1+2+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_8|1_27/G:3_2%0_xx_1/H:xx_xx/I:8-27@1+1&1-8|1+27/J:xx_xx/K:1+8-27
6925000 7725000 u^e-n+o=o/A:0+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_8|1_27/G:3_2%0_xx_1/H:xx_xx/I:8-27@1+1&1-8|1+27/J:xx_xx/K:1+8-27
7725000 8625000 e^n-o+o=t/A:0+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_8|1_27/G:3_2%0_xx_1/H:xx_xx/I:8-27@1+1&1-8|1+27/J:xx_xx/K:1+8-27
8625000 9325000 n^o-o+t=o/A:-1+1+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:3_2#0_xx@2_7|4_24/G:3_1%0_xx_1/H:xx_xx/I:8-27@1+1&1-8|1+27/J:xx_xx/K:1+8-27
9325000 9925000 o^o-t+o=g/A:0+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:3_2#0_xx@2_7|4_24/G:3_1%0_xx_1/H:xx_xx/I:8-27@1+1&1-8|1+27/J:xx_xx/K:1+8-27
9925000 10525000 o^t-o+g=a/A:0+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:3_2#0_xx@2_7|4_24/G:3_1%0_xx_1/H:xx_xx/I:8-27@1+1&1-8|1+27/J:xx_xx/K:1+8-27
10525000 11025000 t^o-g+a=n/A:1+3+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:3_3!0_xx-1/F:3_2#0_xx@2_7|4_24/G:3_1%0_xx_1/H:xx_xx/I:8-27@1+1&1-8|1+27/J:xx_xx/K:1+8-27
11025000 11425000 o^g-a+n=a/A:1+3+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:3_3!0_xx-1/F:3_2#0_xx@2_7|4_24/G:3_1%0_xx_1/H:xx_xx/I:8-27@1+1&1-8|1+27/J:xx_xx/K:1+8-27
