0 5525000 xx^xx-sil+s=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_18/K:2+11-32
5525000 7025000 xx^sil-s+o=n/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_7|1_18/G:4_4%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
7025000 7625000 sil^s-o+n=o/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_7|1_18/G:4_4%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
7625000 8225000 s^o-n+o=h/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_7|1_18/G:4_4%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
8225000 8825000 o^n-o+h=o/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_7|1_18/G:4_4%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
8825000 9525000 n^o-h+o=ts/A:-3+1+4/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_6|3_16/G:3_3%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
9525000 10225000 o^h-o+ts=u/A:-3+1+4/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_6|3_16/G:3_3%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
10225000 11125000 h^o-ts+u=r/A:-2+2+3/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_6|3_16/G:3_3%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
11125000 11525000 o^ts-u+r=e/A:-2+2+3/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_6|3_16/G:3_3%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
11525000 11924999 ts^u-r+e=g/A:-1+3+2/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_6|3_16/G:3_3%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
11924999 12625000 u^r-e+g=a/A:-1+3+2/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_6|3_16/G:3_3%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
12625000 13025000 r^e-g+a=f/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_6|3_16/G:3_3%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
13025000 13625000 e^g-a+f=u/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@2_6|3_16/G:3_3%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
13625000 14625000 g^a-f+u=h/A:-2+1+3/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:4_4!0_xx-1/F:3_3#0_xx@3_5|7_12/G:2_2%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
14625000 14925000 a^f-u+h=a/A:-2+1+3/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:4_4!0_xx-1/F:3_3#0_xx@3_5|7_12/G:2_2%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
14925000 16025000 f^u-h+a=i/A:-1+2+2/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:4_4!0_xx-1/F:3_3#0_xx@3_5|7_12/G:2_2%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
16025000 16925000 u^h-a+i=sh/A:-1+2+2/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:4_4!0_xx-1/F:3_3#0_xx@3_5|7_12/G:2_2%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
16925000 17225000 h^a-i+sh=I/A:0+3+1/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:4_4!0_xx-1/F:3_3#0_xx@3_5|7_12/G:2_2%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
17225000 17825000 a^i-sh+I=t/A:-1+1+2/B:03-xx_xx/C:20_4+1/D:12+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@4_4|10_9/G:3_3%0_xx_1/H:xx_xx/I:7-18@1+2&1-11|1+32/J:4_14/K:2+11-32
