0 3225000 xx^xx-sil+h=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:09+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_4/K:2+4-14
3225000 3925000 xx^sil-h+e=h/A:-1+1+2/B:xx-xx_xx/C:09_xx+xx/D:08+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_4/G:2_2%0_xx_1/H:xx_xx/I:2-4@1+2&1-4|1+14/J:2_10/K:2+4-14
3925000 4325000 sil^h-e+h=e/A:-1+1+2/B:xx-xx_xx/C:09_xx+xx/D:08+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_4/G:2_2%0_xx_1/H:xx_xx/I:2-4@1+2&1-4|1+14/J:2_10/K:2+4-14
4325000 4825000 h^e-h+e=cl/A:0+2+1/B:xx-xx_xx/C:09_xx+xx/D:08+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_4/G:2_2%0_xx_1/H:xx_xx/I:2-4@1+2&1-4|1+14/J:2_10/K:2+4-14
4825000 6525000 e^h-e+cl=t/A:0+2+1/B:xx-xx_xx/C:09_xx+xx/D:08+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_4/G:2_2%0_xx_1/H:xx_xx/I:2-4@1+2&1-4|1+14/J:2_10/K:2+4-14
6525000 7225000 h^e-cl+t=o/A:-1+1+2/B:09-xx_xx/C:08_xx+xx/D:04+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@2_1|3_2/G:3_1%0_xx_0/H:xx_xx/I:2-4@1+2&1-4|1+14/J:2_10/K:2+4-14
7225000 7725000 e^cl-t+o=pau/A:0+2+1/B:09-xx_xx/C:08_xx+xx/D:04+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@2_1|3_2/G:3_1%0_xx_0/H:xx_xx/I:2-4@1+2&1-4|1+14/J:2_10/K:2+4-14
7725000 8225000 cl^t-o+pau=ky/A:0+2+1/B:09-xx_xx/C:08_xx+xx/D:04+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@2_1|3_2/G:3_1%0_xx_0/H:xx_xx/I:2-4@1+2&1-4|1+14/J:2_10/K:2+4-14
8225000 8525000 t^o-pau+ky=a/A:xx+xx+xx/B:08-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:2_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:2_4/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_10/K:2+4-14
8525000 9225000 o^pau-ky+a=ts/A:0+1+3/B:08-xx_xx/C:04_xx+xx/D:24+xx_xx/E:2_2!0_xx-0/F:3_1#0_xx@1_2|1_10/G:7_2%0_xx_1/H:2_4/I:2-10@2+1&3-2|5+10/J:xx_xx/K:2+4-14
9225000 9825000 pau^ky-a+ts=u/A:0+1+3/B:08-xx_xx/C:04_xx+xx/D:24+xx_xx/E:2_2!0_xx-0/F:3_1#0_xx@1_2|1_10/G:7_2%0_xx_1/H:2_4/I:2-10@2+1&3-2|5+10/J:xx_xx/K:2+4-14
9825000 10225000 ky^a-ts+u=w/A:1+2+2/B:08-xx_xx/C:04_xx+xx/D:24+xx_xx/E:2_2!0_xx-0/F:3_1#0_xx@1_2|1_10/G:7_2%0_xx_1/H:2_4/I:2-10@2+1&3-2|5+10/J:xx_xx/K:2+4-14
10225000 10525000 a^ts-u+w=a/A:1+2+2/B:08-xx_xx/C:04_xx+xx/D:24+xx_xx/E:2_2!0_xx-0/F:3_1#0_xx@1_2|1_10/G:7_2%0_xx_1/H:2_4/I:2-10@2+1&3-2|5+10/J:xx_xx/K:2+4-14
