0 4725000 xx^xx-sil+h=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:9_6%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_34/K:2+8-51
4725000 6125000 xx^sil-h+a=i/A:-5+1+9/B:xx-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:9_6#0_xx@1_5|1_34/G:13_1%0_xx_1/H:xx_xx/I:5-34@1+2&1-8|1+51/J:3_17/K:2+8-51
6125000 6825000 sil^h-a+i=ch/A:-5+1+9/B:xx-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:9_6#0_xx@1_5|1_34/G:13_1%0_xx_1/H:xx_xx/I:5-34@1+2&1-8|1+51/J:3_17/K:2+8-51
6825000 7325000 h^a-i+ch=I/A:-4+2+8/B:xx-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:9_6#0_xx@1_5|1_34/G:13_1%0_xx_1/H:xx_xx/I:5-34@1+2&1-8|1+51/J:3_17/K:2+8-51
7325000 8525000 a^i-ch+I=ky/A:-3+3+7/B:xx-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:9_6#0_xx@1_5|1_34/G:13_1%0_xx_1/H:xx_xx/I:5-34@1+2&1-8|1+51/J:3_17/K:2+8-51
8525000 8925000 i^ch-I+ky=o/A:-3+3+7/B:xx-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:9_6#0_xx@1_5|1_34/G:13_1%0_xx_1/H:xx_xx/I:5-34@1+2&1-8|1+51/J:3_17/K:2+8-51
8925000 9925000 ch^I-ky+o=o/A:-2+4+6/B:18-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:9_6#0_xx@1_5|1_34/G:13_1%0_xx_1/H:xx_xx/I:5-34@1+2&1-8|1+51/J:3_17/K:2+8-51
9925000 10925000 I^ky-o+o=w/A:-2+4+6/B:18-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:9_6#0_xx@1_5|1_34/G:13_1%0_xx_1/H:xx_xx/I:5-34@1+2&1-8|1+51/J:3_17/K:2+8-51
10925000 11625000 ky^o-o+w=a/A:-1+5+5/B:18-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:9_6#0_xx@1_5|1_34/G:13_1%0_xx_1/H:xx_xx/I:5-34@1+2&1-8|1+51/J:3_17/K:2+8-51
11625000 12225000 o^o-w+a=k/A:0+6+4/B:18-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:9_6#0_xx@1_5|1_34/G:13_1%0_xx_1/H:xx_xx/I:5-34@1+2&1-8|1+51/J:3_17/K:2+8-51
12225000 12825000 o^w-a+k=o/A:0+6+4/B:18-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:9_6#0_xx@1_5|1_34/G:13_1%0_xx_1/H:xx_xx/I:5-34@1+2&1-8|1+51/J:3_17/K:2+8-51
