0 4225000 xx^xx-sil+n=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:16+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:7_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_13/K:1+2-13
4225000 5125000 xx^sil-n+i=s/A:-2+1+7/B:xx-xx_xx/C:16_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_2|1_13/G:6_2%0_xx_1/H:xx_xx/I:2-13@1+1&1-2|1+13/J:xx_xx/K:1+2-13
5125000 5825000 sil^n-i+s=e/A:-2+1+7/B:xx-xx_xx/C:16_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_2|1_13/G:6_2%0_xx_1/H:xx_xx/I:2-13@1+1&1-2|1+13/J:xx_xx/K:1+2-13
5825000 6625000 n^i-s+e=ky/A:-1+2+6/B:xx-xx_xx/C:16_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_2|1_13/G:6_2%0_xx_1/H:xx_xx/I:2-13@1+1&1-2|1+13/J:xx_xx/K:1+2-13
6625000 7524999 i^s-e+ky=o/A:-1+2+6/B:xx-xx_xx/C:16_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_2|1_13/G:6_2%0_xx_1/H:xx_xx/I:2-13@1+1&1-2|1+13/J:xx_xx/K:1+2-13
7524999 8425000 s^e-ky+o=o/A:0+3+5/B:16-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_2|1_13/G:6_2%0_xx_1/H:xx_xx/I:2-13@1+1&1-2|1+13/J:xx_xx/K:1+2-13
8425000 10025000 e^ky-o+o=k/A:0+3+5/B:16-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_2|1_13/G:6_2%0_xx_1/H:xx_xx/I:2-13@1+1&1-2|1+13/J:xx_xx/K:1+2-13
10025000 10725000 ky^o-o+k=a/A:1+4+4/B:16-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_2|1_13/G:6_2%0_xx_1/H:xx_xx/I:2-13@1+1&1-2|1+13/J:xx_xx/K:1+2-13
10725000 11525000 o^o-k+a=i/A:2+5+3/B:16-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_2|1_13/G:6_2%0_xx_1/H:xx_xx/I:2-13@1+1&1-2|1+13/J:xx_xx/K:1+2-13
11525000 11825000 o^k-a+i=n/A:2+5+3/B:16-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_2|1_13/G:6_2%0_xx_1/H:xx_xx/I:2-13@1+1&1-2|1+13/J:xx_xx/K:1+2-13
11825000 13125000 k^a-i+n=i/A:3+6+2/B:16-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_3#0_xx@1_2|1_13/G:6_2%0_xx_1/H:xx_xx/I:2-13@1+1&1-2|1+13/J:xx_xx/K:1+2-13
