0 2025000 xx^xx-sil+w=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_12/K:4+12-54
2025000 2525000 xx^sil-w+a=t/A:-3+1+4/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_12/G:8_6%0_xx_1/H:xx_xx/I:2-12@1+4&1-12|1+54/J:3_11/K:4+12-54
2525000 3525000 sil^w-a+t=a/A:-3+1+4/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_12/G:8_6%0_xx_1/H:xx_xx/I:2-12@1+4&1-12|1+54/J:3_11/K:4+12-54
3525000 4025000 w^a-t+a=sh/A:-2+2+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_12/G:8_6%0_xx_1/H:xx_xx/I:2-12@1+4&1-12|1+54/J:3_11/K:4+12-54
4025000 4325000 a^t-a+sh=i/A:-2+2+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_12/G:8_6%0_xx_1/H:xx_xx/I:2-12@1+4&1-12|1+54/J:3_11/K:4+12-54
4325000 5525000 t^a-sh+i=n/A:-1+3+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_12/G:8_6%0_xx_1/H:xx_xx/I:2-12@1+4&1-12|1+54/J:3_11/K:4+12-54
5525000 5825000 a^sh-i+n=o/A:-1+3+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_12/G:8_6%0_xx_1/H:xx_xx/I:2-12@1+4&1-12|1+54/J:3_11/K:4+12-54
5825000 6125000 sh^i-n+o=i/A:0+4+1/B:04-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_12/G:8_6%0_xx_1/H:xx_xx/I:2-12@1+4&1-12|1+54/J:3_11/K:4+12-54
6125000 6525000 i^n-o+i=e/A:0+4+1/B:04-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_12/G:8_6%0_xx_1/H:xx_xx/I:2-12@1+4&1-12|1+54/J:3_11/K:4+12-54
6525000 7825000 n^o-i+e=b/A:-5+1+8/B:23-xx_xx/C:02_xx+xx/D:11+xx_xx/E:4_4!0_xx-1/F:8_6#0_xx@2_1|5_8/G:4_1%0_xx_0/H:xx_xx/I:2-12@1+4&1-12|1+54/J:3_11/K:4+12-54
7825000 8725000 o^i-e+b=a/A:-4+2+7/B:23-xx_xx/C:02_xx+xx/D:11+xx_xx/E:4_4!0_xx-1/F:8_6#0_xx@2_1|5_8/G:4_1%0_xx_0/H:xx_xx/I:2-12@1+4&1-12|1+54/J:3_11/K:4+12-54
8725000 9225000 i^e-b+a=k/A:-3+3+6/B:02-xx_xx/C:11_xx+xx/D:10+7_1/E:4_4!0_xx-1/F:8_6#0_xx@2_1|5_8/G:4_1%0_xx_0/H:xx_xx/I:2-12@1+4&1-12|1+54/J:3_11/K:4+12-54
9225000 10025000 e^b-a+k=a/A:-3+3+6/B:02-xx_xx/C:11_xx+xx/D:10+7_1/E:4_4!0_xx-1/F:8_6#0_xx@2_1|5_8/G:4_1%0_xx_0/H:xx_xx/I:2-12@1+4&1-12|1+54/J:3_11/K:4+12-54
