0 2225000 xx^xx-sil+m=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:16+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_24/K:1+6-24
2225000 2525000 xx^sil-m+i=k/A:-1+1+6/B:xx-xx_xx/C:16_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:6_2#0_xx@1_6|1_24/G:5_5%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
2525000 3225000 sil^m-i+k=a/A:-1+1+6/B:xx-xx_xx/C:16_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:6_2#0_xx@1_6|1_24/G:5_5%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
3225000 4025000 m^i-k+a=i/A:0+2+5/B:16-xx_xx/C:03_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_2#0_xx@1_6|1_24/G:5_5%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
4025000 4825000 i^k-a+i=k/A:0+2+5/B:16-xx_xx/C:03_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_2#0_xx@1_6|1_24/G:5_5%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
4825000 5325000 k^a-i+k=e/A:1+3+4/B:16-xx_xx/C:03_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_2#0_xx@1_6|1_24/G:5_5%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
5325000 5925000 a^i-k+e=ts/A:2+4+3/B:16-xx_xx/C:03_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_2#0_xx@1_6|1_24/G:5_5%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
5925000 6725000 i^k-e+ts=u/A:2+4+3/B:16-xx_xx/C:03_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_2#0_xx@1_6|1_24/G:5_5%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
6725000 7425000 k^e-ts+u=n/A:3+5+2/B:16-xx_xx/C:03_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_2#0_xx@1_6|1_24/G:5_5%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
7425000 7725000 e^ts-u+n=o/A:3+5+2/B:16-xx_xx/C:03_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_2#0_xx@1_6|1_24/G:5_5%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
7725000 8025000 ts^u-n+o=k/A:4+6+1/B:03-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_2#0_xx@1_6|1_24/G:5_5%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
8025000 8725000 u^n-o+k=e/A:4+6+1/B:03-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_2#0_xx@1_6|1_24/G:5_5%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
8725000 9625000 n^o-k+e=N/A:-4+1+5/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_2!0_xx-1/F:5_5#0_xx@2_5|7_18/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
9625000 10325000 o^k-e+N=a/A:-4+1+5/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_2!0_xx-1/F:5_5#0_xx@2_5|7_18/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
10325000 11325000 k^e-N+a=N/A:-3+2+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_2!0_xx-1/F:5_5#0_xx@2_5|7_18/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
11325000 12625000 e^N-a+N=o/A:-2+3+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_2!0_xx-1/F:5_5#0_xx@2_5|7_18/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
12625000 12925000 N^a-N+o=m/A:-1+4+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_2!0_xx-1/F:5_5#0_xx@2_5|7_18/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
12925000 14025000 a^N-o+m=o/A:0+5+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:6_2!0_xx-1/F:5_5#0_xx@2_5|7_18/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
14025000 14625000 N^o-m+o=cl/A:0+1+3/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@3_4|12_13/G:5_5%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
14625000 15625000 o^m-o+cl=t/A:0+1+3/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@3_4|12_13/G:5_5%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
15625000 16125000 m^o-cl+t=e/A:1+2+2/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@3_4|12_13/G:5_5%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
16125000 16425000 o^cl-t+e=j/A:2+3+1/B:20-1_1/C:12_xx+xx/D:02+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@3_4|12_13/G:5_5%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
16425000 16925000 cl^t-e+j=u/A:2+3+1/B:20-1_1/C:12_xx+xx/D:02+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@3_4|12_13/G:5_5%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
16925000 18425000 t^e-j+u=u/A:-4+1+5/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_5#0_xx@4_3|15_10/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
18425000 18725000 e^j-u+u=y/A:-4+1+5/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_5#0_xx@4_3|15_10/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
18725000 19225000 j^u-u+y=a/A:-3+2+4/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_5#0_xx@4_3|15_10/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
19225000 20125000 u^u-y+a=k/A:-2+3+3/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_5#0_xx@4_3|15_10/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
20125000 20625000 u^y-a+k=U/A:-2+3+3/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_5#0_xx@4_3|15_10/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
20625000 21025000 y^a-k+U=t/A:-1+4+2/B:12-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_5#0_xx@4_3|15_10/G:3_1%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
