0 1724999 xx^xx-sil+k=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:09+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_10/K:2+5-22
1724999 2625000 xx^sil-k+e=k/A:0+1+4/B:xx-xx_xx/C:09_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_10/G:6_4%0_xx_1/H:xx_xx/I:2-10@1+2&1-5|1+22/J:3_12/K:2+5-22
2625000 3425000 sil^k-e+k=e/A:0+1+4/B:xx-xx_xx/C:09_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_10/G:6_4%0_xx_1/H:xx_xx/I:2-10@1+2&1-5|1+22/J:3_12/K:2+5-22
3425000 3825000 k^e-k+e=cl/A:1+2+3/B:09-xx_xx/C:02_xx+xx/D:11+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_10/G:6_4%0_xx_1/H:xx_xx/I:2-10@1+2&1-5|1+22/J:3_12/K:2+5-22
3825000 5625000 e^k-e+cl=t/A:1+2+3/B:09-xx_xx/C:02_xx+xx/D:11+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_10/G:6_4%0_xx_1/H:xx_xx/I:2-10@1+2&1-5|1+22/J:3_12/K:2+5-22
5625000 6225000 k^e-cl+t=o/A:2+3+2/B:02-xx_xx/C:11_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_10/G:6_4%0_xx_1/H:xx_xx/I:2-10@1+2&1-5|1+22/J:3_12/K:2+5-22
6225000 6725000 e^cl-t+o=w/A:3+4+1/B:11-xx_xx/C:13_xx+xx/D:20+1_1/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_10/G:6_4%0_xx_1/H:xx_xx/I:2-10@1+2&1-5|1+22/J:3_12/K:2+5-22
6725000 7225000 cl^t-o+w=a/A:3+4+1/B:11-xx_xx/C:13_xx+xx/D:20+1_1/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_10/G:6_4%0_xx_1/H:xx_xx/I:2-10@1+2&1-5|1+22/J:3_12/K:2+5-22
7225000 7925000 t^o-w+a=r/A:-3+1+6/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:4_1!0_xx-1/F:6_4#0_xx@2_1|5_6/G:4_1%0_xx_0/H:xx_xx/I:2-10@1+2&1-5|1+22/J:3_12/K:2+5-22
7925000 8525000 o^w-a+r=a/A:-3+1+6/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:4_1!0_xx-1/F:6_4#0_xx@2_1|5_6/G:4_1%0_xx_0/H:xx_xx/I:2-10@1+2&1-5|1+22/J:3_12/K:2+5-22
8525000 8925000 w^a-r+a=i/A:-2+2+5/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:4_1!0_xx-1/F:6_4#0_xx@2_1|5_6/G:4_1%0_xx_0/H:xx_xx/I:2-10@1+2&1-5|1+22/J:3_12/K:2+5-22
