0 2925000 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_6/K:2+5-23
2925000 3725000 xx^sil-k+a=r/A:-2+1+6/B:xx-xx_xx/C:04_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_1|1_6/G:6_3%0_xx_0/H:xx_xx/I:1-6@1+2&1-5|1+23/J:4_17/K:2+5-23
3725000 4225000 sil^k-a+r=e/A:-2+1+6/B:xx-xx_xx/C:04_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_1|1_6/G:6_3%0_xx_0/H:xx_xx/I:1-6@1+2&1-5|1+23/J:4_17/K:2+5-23
4225000 4525000 k^a-r+e=j/A:-1+2+5/B:xx-xx_xx/C:04_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_1|1_6/G:6_3%0_xx_0/H:xx_xx/I:1-6@1+2&1-5|1+23/J:4_17/K:2+5-23
4525000 5525000 a^r-e+j=i/A:-1+2+5/B:xx-xx_xx/C:04_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_1|1_6/G:6_3%0_xx_0/H:xx_xx/I:1-6@1+2&1-5|1+23/J:4_17/K:2+5-23
5525000 5925000 r^e-j+i=sh/A:0+3+4/B:04-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_1|1_6/G:6_3%0_xx_0/H:xx_xx/I:1-6@1+2&1-5|1+23/J:4_17/K:2+5-23
5925000 6725000 e^j-i+sh=i/A:0+3+4/B:04-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_1|1_6/G:6_3%0_xx_0/H:xx_xx/I:1-6@1+2&1-5|1+23/J:4_17/K:2+5-23
6725000 7725000 j^i-sh+i=N/A:1+4+3/B:04-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_1|1_6/G:6_3%0_xx_0/H:xx_xx/I:1-6@1+2&1-5|1+23/J:4_17/K:2+5-23
7725000 8525000 i^sh-i+N=w/A:1+4+3/B:04-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_1|1_6/G:6_3%0_xx_0/H:xx_xx/I:1-6@1+2&1-5|1+23/J:4_17/K:2+5-23
8525000 9425000 sh^i-N+w=a/A:2+5+2/B:04-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_1|1_6/G:6_3%0_xx_0/H:xx_xx/I:1-6@1+2&1-5|1+23/J:4_17/K:2+5-23
9425000 10425000 i^N-w+a=pau/A:3+6+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_1|1_6/G:6_3%0_xx_0/H:xx_xx/I:1-6@1+2&1-5|1+23/J:4_17/K:2+5-23
