0 5525000 xx^xx-sil+y=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_25/K:2+10-38
5525000 6225000 xx^sil-y+a=cl/A:-2+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_7|1_25/G:2_1%0_xx_1/H:xx_xx/I:7-25@1+2&1-10|1+38/J:3_13/K:2+10-38
6225000 6725000 sil^y-a+cl=ts/A:-2+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_7|1_25/G:2_1%0_xx_1/H:xx_xx/I:7-25@1+2&1-10|1+38/J:3_13/K:2+10-38
6725000 8025000 y^a-cl+ts=u/A:-1+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_7|1_25/G:2_1%0_xx_1/H:xx_xx/I:7-25@1+2&1-10|1+38/J:3_13/K:2+10-38
8025000 8725000 a^cl-ts+u=n/A:0+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_7|1_25/G:2_1%0_xx_1/H:xx_xx/I:7-25@1+2&1-10|1+38/J:3_13/K:2+10-38
8725000 9025000 cl^ts-u+n=i/A:0+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_7|1_25/G:2_1%0_xx_1/H:xx_xx/I:7-25@1+2&1-10|1+38/J:3_13/K:2+10-38
9025000 9825000 ts^u-n+i=n/A:1+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_7|1_25/G:2_1%0_xx_1/H:xx_xx/I:7-25@1+2&1-10|1+38/J:3_13/K:2+10-38
9825000 10425000 u^n-i+n=a/A:1+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_7|1_25/G:2_1%0_xx_1/H:xx_xx/I:7-25@1+2&1-10|1+38/J:3_13/K:2+10-38
10425000 11225000 n^i-n+a=r/A:0+1+2/B:13-xx_xx/C:20_1+2/D:18+xx_xx/E:4_3!0_xx-1/F:2_1#0_xx@2_6|5_21/G:5_1%0_xx_1/H:xx_xx/I:7-25@1+2&1-10|1+38/J:3_13/K:2+10-38
11225000 12024999 i^n-a+r=u/A:0+1+2/B:13-xx_xx/C:20_1+2/D:18+xx_xx/E:4_3!0_xx-1/F:2_1#0_xx@2_6|5_21/G:5_1%0_xx_1/H:xx_xx/I:7-25@1+2&1-10|1+38/J:3_13/K:2+10-38
12024999 12525000 n^a-r+u=w/A:1+2+1/B:13-xx_xx/C:20_1+2/D:18+xx_xx/E:4_3!0_xx-1/F:2_1#0_xx@2_6|5_21/G:5_1%0_xx_1/H:xx_xx/I:7-25@1+2&1-10|1+38/J:3_13/K:2+10-38
