0 4925000 xx^xx-sil+n=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_23/K:1+5-23
4925000 5425000 xx^sil-n+i=cl/A:-2+1+5/B:xx-xx_xx/C:18_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_5|1_23/G:4_4%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
5425000 6025000 sil^n-i+cl=p/A:-2+1+5/B:xx-xx_xx/C:18_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_5|1_23/G:4_4%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
6025000 6825000 n^i-cl+p=o/A:-1+2+4/B:xx-xx_xx/C:18_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_5|1_23/G:4_4%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
6825000 8225000 i^cl-p+o=N/A:0+3+3/B:xx-xx_xx/C:18_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_5|1_23/G:4_4%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
8225000 8525000 cl^p-o+N=e/A:0+3+3/B:xx-xx_xx/C:18_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_5|1_23/G:4_4%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
8525000 9525000 p^o-N+e=i/A:1+4+2/B:xx-xx_xx/C:18_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_5|1_23/G:4_4%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
9525000 10325000 o^N-e+i=k/A:2+5+1/B:18-xx_xx/C:13_xx+xx/D:20+1_2/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_5|1_23/G:4_4%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
10325000 10725000 N^e-i+k=u/A:-3+1+4/B:13-xx_xx/C:20_1+2/D:13+xx_xx/E:5_3!0_xx-1/F:4_4#0_xx@2_4|6_18/G:3_1%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
10725000 11125000 e^i-k+u=n/A:-2+2+3/B:13-xx_xx/C:20_1+2/D:13+xx_xx/E:5_3!0_xx-1/F:4_4#0_xx@2_4|6_18/G:3_1%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
11125000 11924999 i^k-u+n=i/A:-2+2+3/B:13-xx_xx/C:20_1+2/D:13+xx_xx/E:5_3!0_xx-1/F:4_4#0_xx@2_4|6_18/G:3_1%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
11924999 12325000 k^u-n+i=w/A:-1+3+2/B:20-1_2/C:13_xx+xx/D:24+xx_xx/E:5_3!0_xx-1/F:4_4#0_xx@2_4|6_18/G:3_1%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
12325000 12825000 u^n-i+w=a/A:-1+3+2/B:20-1_2/C:13_xx+xx/D:24+xx_xx/E:5_3!0_xx-1/F:4_4#0_xx@2_4|6_18/G:3_1%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
12825000 14025000 n^i-w+a=f/A:0+4+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:5_3!0_xx-1/F:4_4#0_xx@2_4|6_18/G:3_1%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
14025000 14325000 i^w-a+f=u/A:0+4+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:5_3!0_xx-1/F:4_4#0_xx@2_4|6_18/G:3_1%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
14325000 14825000 w^a-f+u=n/A:0+1+3/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@3_3|10_14/G:5_2%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
14825000 15525000 a^f-u+n=e/A:0+1+3/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@3_3|10_14/G:5_2%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
