0 5625000 xx^xx-sil+h=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_6%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_19/K:2+10-33
5625000 6925000 xx^sil-h+i=d/A:-5+1+6/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_5|1_19/G:4_3%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+33/J:5_14/K:2+10-33
6925000 7625000 sil^h-i+d=a/A:-5+1+6/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_5|1_19/G:4_3%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+33/J:5_14/K:2+10-33
7625000 8725000 h^i-d+a=r/A:-4+2+5/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_5|1_19/G:4_3%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+33/J:5_14/K:2+10-33
8725000 10125000 i^d-a+r=i/A:-4+2+5/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_5|1_19/G:4_3%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+33/J:5_14/K:2+10-33
10125000 10625000 d^a-r+i=hy/A:-3+3+4/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_5|1_19/G:4_3%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+33/J:5_14/K:2+10-33
10625000 11625000 a^r-i+hy=o/A:-3+3+4/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_5|1_19/G:4_3%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+33/J:5_14/K:2+10-33
11625000 12225000 r^i-hy+o=o/A:-2+4+3/B:02-xx_xx/C:15_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_5|1_19/G:4_3%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+33/J:5_14/K:2+10-33
12225000 12525000 i^hy-o+o=n/A:-2+4+3/B:02-xx_xx/C:15_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_5|1_19/G:4_3%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+33/J:5_14/K:2+10-33
12525000 13325000 hy^o-o+n=o/A:-1+5+2/B:02-xx_xx/C:15_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_5|1_19/G:4_3%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+33/J:5_14/K:2+10-33
13325000 13925000 o^o-n+o=t/A:0+6+1/B:15-xx_xx/C:23_xx+xx/D:22+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_5|1_19/G:4_3%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+33/J:5_14/K:2+10-33
