0 1625000 xx^xx-sil+f=U/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:8_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_14/K:1+3-14
1625000 2925000 xx^sil-f+U=ky/A:-3+1+8/B:xx-xx_xx/C:03_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+1&1-3|1+14/J:xx_xx/K:1+3-14
2925000 3725000 sil^f-U+ky=u/A:-3+1+8/B:xx-xx_xx/C:03_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+1&1-3|1+14/J:xx_xx/K:1+3-14
3725000 4725000 f^U-ky+u=u/A:-2+2+7/B:xx-xx_xx/C:03_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+1&1-3|1+14/J:xx_xx/K:1+3-14
4725000 5425000 U^ky-u+u=k/A:-2+2+7/B:xx-xx_xx/C:03_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+1&1-3|1+14/J:xx_xx/K:1+3-14
5425000 5925000 ky^u-u+k=a/A:-1+3+6/B:xx-xx_xx/C:03_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+1&1-3|1+14/J:xx_xx/K:1+3-14
5925000 6625000 u^u-k+a=ts/A:0+4+5/B:03-xx_xx/C:03_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+1&1-3|1+14/J:xx_xx/K:1+3-14
6625000 7425000 u^k-a+ts=u/A:0+4+5/B:03-xx_xx/C:03_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+1&1-3|1+14/J:xx_xx/K:1+3-14
7425000 8325000 k^a-ts+u=d/A:1+5+4/B:03-xx_xx/C:03_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+1&1-3|1+14/J:xx_xx/K:1+3-14
8325000 8625000 a^ts-u+d=o/A:1+5+4/B:03-xx_xx/C:03_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+1&1-3|1+14/J:xx_xx/K:1+3-14
8625000 9125000 ts^u-d+o=o/A:2+6+3/B:03-xx_xx/C:03_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_3|1_14/G:4_4%0_xx_1/H:xx_xx/I:3-14@1+1&1-3|1+14/J:xx_xx/K:1+3-14
