0 4325000 xx^xx-sil+k=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:7_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_22/K:1+3-22
4325000 5024999 xx^sil-k+o=p/A:-3+1+7/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_3|1_22/G:6_1%0_xx_1/H:xx_xx/I:3-22@1+1&1-3|1+22/J:xx_xx/K:1+3-22
5024999 5725000 sil^k-o+p=e/A:-3+1+7/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_3|1_22/G:6_1%0_xx_1/H:xx_xx/I:3-22@1+1&1-3|1+22/J:xx_xx/K:1+3-22
5725000 6225000 k^o-p+e=r/A:-2+2+6/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_3|1_22/G:6_1%0_xx_1/H:xx_xx/I:3-22@1+1&1-3|1+22/J:xx_xx/K:1+3-22
6225000 6925000 o^p-e+r=u/A:-2+2+6/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_3|1_22/G:6_1%0_xx_1/H:xx_xx/I:3-22@1+1&1-3|1+22/J:xx_xx/K:1+3-22
6925000 7325000 p^e-r+u=n/A:-1+3+5/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_3|1_22/G:6_1%0_xx_1/H:xx_xx/I:3-22@1+1&1-3|1+22/J:xx_xx/K:1+3-22
7325000 7725000 e^r-u+n=i/A:-1+3+5/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_3|1_22/G:6_1%0_xx_1/H:xx_xx/I:3-22@1+1&1-3|1+22/J:xx_xx/K:1+3-22
7725000 8625000 r^u-n+i=k/A:0+4+4/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_3|1_22/G:6_1%0_xx_1/H:xx_xx/I:3-22@1+1&1-3|1+22/J:xx_xx/K:1+3-22
8625000 9325000 u^n-i+k=U/A:0+4+4/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_3|1_22/G:6_1%0_xx_1/H:xx_xx/I:3-22@1+1&1-3|1+22/J:xx_xx/K:1+3-22
9325000 9825000 n^i-k+U=s/A:1+5+3/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_3|1_22/G:6_1%0_xx_1/H:xx_xx/I:3-22@1+1&1-3|1+22/J:xx_xx/K:1+3-22
9825000 10125000 i^k-U+s=u/A:1+5+3/B:xx-xx_xx/C:18_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_3|1_22/G:6_1%0_xx_1/H:xx_xx/I:3-22@1+1&1-3|1+22/J:xx_xx/K:1+3-22
