0 625000 xx^xx-sil+m=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_18/K:1+5-18
625000 1225000 xx^sil-m+i=n/A:-2+1+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_5|1_18/G:5_5%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
1225000 2125000 sil^m-i+n=a/A:-2+1+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_5|1_18/G:5_5%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
2125000 2425000 m^i-n+a=n/A:-1+2+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_5|1_18/G:5_5%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
2425000 2725000 i^n-a+n=o/A:-1+2+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_5|1_18/G:5_5%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
2725000 3025000 n^a-n+o=ky/A:0+3+1/B:04-xx_xx/C:23_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_5|1_18/G:5_5%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
3025000 3325000 a^n-o+ky=o/A:0+3+1/B:04-xx_xx/C:23_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_5|1_18/G:5_5%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
3325000 3625000 n^o-ky+o=o/A:-4+1+5/B:23-xx_xx/C:03_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_4|4_15/G:4_4%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
3625000 3925000 o^ky-o+o=ry/A:-4+1+5/B:23-xx_xx/C:03_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_4|4_15/G:4_4%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
3925000 4225000 ky^o-o+ry=o/A:-3+2+4/B:23-xx_xx/C:03_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_4|4_15/G:4_4%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
4225000 4525000 o^o-ry+o=k/A:-2+3+3/B:23-xx_xx/C:03_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_4|4_15/G:4_4%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
