0 1825000 xx^xx-sil+h=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_11/K:2+6-25
1825000 2325000 xx^sil-h+i=r/A:-1+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_2|1_11/G:7_4%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+25/J:4_14/K:2+6-25
2325000 3325000 sil^h-i+r=u/A:-1+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_2|1_11/G:7_4%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+25/J:4_14/K:2+6-25
3325000 4225000 h^i-r+u=n/A:0+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_2|1_11/G:7_4%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+25/J:4_14/K:2+6-25
4225000 4525000 i^r-u+n=i/A:0+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_2|1_11/G:7_4%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+25/J:4_14/K:2+6-25
4525000 5024999 r^u-n+i=w/A:1+3+2/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_2|1_11/G:7_4%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+25/J:4_14/K:2+6-25
5024999 5625000 u^n-i+w=a/A:1+3+2/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_2|1_11/G:7_4%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+25/J:4_14/K:2+6-25
5625000 5925000 n^i-w+a=p/A:2+4+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_2|1_11/G:7_4%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+25/J:4_14/K:2+6-25
5925000 6625000 i^w-a+p=e/A:2+4+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_2|1_11/G:7_4%0_xx_1/H:xx_xx/I:2-11@1+2&1-6|1+25/J:4_14/K:2+6-25
6625000 7125000 w^a-p+e=s/A:-3+1+7/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-1/F:7_4#0_xx@2_1|5_7/G:4_1%0_xx_0/H:xx_xx/I:2-11@1+2&1-6|1+25/J:4_14/K:2+6-25
7125000 7725000 a^p-e+s=U/A:-3+1+7/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-1/F:7_4#0_xx@2_1|5_7/G:4_1%0_xx_0/H:xx_xx/I:2-11@1+2&1-6|1+25/J:4_14/K:2+6-25
