0 3325000 xx^xx-sil+i=cl/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_26/K:1+6-26
3325000 3825000 xx^sil-i+cl=s/A:-2+1+3/B:xx-xx_xx/C:06_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_6|1_26/G:6_4%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
3825000 4125000 sil^i-cl+s=o/A:-1+2+2/B:xx-xx_xx/C:06_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_6|1_26/G:6_4%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
4125000 5325000 i^cl-s+o=ky/A:0+3+1/B:xx-xx_xx/C:06_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_6|1_26/G:6_4%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
5325000 6025000 cl^s-o+ky=a/A:0+3+1/B:xx-xx_xx/C:06_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_6|1_26/G:6_4%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
6025000 7225000 s^o-ky+a=k/A:-3+1+6/B:06-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-1/F:6_4#0_xx@2_5|4_23/G:4_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
7225000 7725000 o^ky-a+k=U/A:-3+1+6/B:06-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-1/F:6_4#0_xx@2_5|4_23/G:4_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
7725000 8625000 ky^a-k+U=h/A:-2+2+5/B:06-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-1/F:6_4#0_xx@2_5|4_23/G:4_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
8625000 9025000 a^k-U+h=o/A:-2+2+5/B:06-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-1/F:6_4#0_xx@2_5|4_23/G:4_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
9025000 9525000 k^U-h+o=N/A:-1+3+4/B:06-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-1/F:6_4#0_xx@2_5|4_23/G:4_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
9525000 10125000 U^h-o+N=k/A:-1+3+4/B:06-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-1/F:6_4#0_xx@2_5|4_23/G:4_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
