0 5125000 xx^xx-sil+w=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_28/K:1+6-28
5125000 5625000 xx^sil-w+a=t/A:-3+1+4/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_28/G:5_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
5625000 6425000 sil^w-a+t=a/A:-3+1+4/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_28/G:5_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
6425000 6825000 w^a-t+a=sh/A:-2+2+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_28/G:5_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
6825000 7225000 a^t-a+sh=i/A:-2+2+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_28/G:5_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
7225000 8325000 t^a-sh+i=n/A:-1+3+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_28/G:5_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
8325000 8625000 a^sh-i+n=o/A:-1+3+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_28/G:5_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
8625000 9025000 sh^i-n+o=p/A:0+4+1/B:04-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_28/G:5_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
9025000 9825000 i^n-o+p=o/A:0+4+1/B:04-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_28/G:5_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
9825000 10625000 n^o-p+o=k/A:0+1+5/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:5_1#0_xx@2_5|5_24/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
10625000 11425000 o^p-o+k=e/A:0+1+5/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:5_1#0_xx@2_5|5_24/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
11425000 11825000 p^o-k+e=cl/A:1+2+4/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:5_1#0_xx@2_5|5_24/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
11825000 12825000 o^k-e+cl=t/A:1+2+4/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:5_1#0_xx@2_5|5_24/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
12825000 13425000 k^e-cl+t=o/A:2+3+3/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:5_1#0_xx@2_5|5_24/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
13425000 14025000 e^cl-t+o=n/A:3+4+2/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:5_1#0_xx@2_5|5_24/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
14025000 14725000 cl^t-o+n=o/A:3+4+2/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:5_1#0_xx@2_5|5_24/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
