0 4725000 xx^xx-sil+m=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_17/K:1+4-17
4725000 5125000 xx^sil-m+i=b/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_17/G:5_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
5125000 6625000 sil^m-i+b=u/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_17/G:5_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
6625000 6925000 m^i-b+u=N/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_17/G:5_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
6925000 7225000 i^b-u+N=o/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_17/G:5_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
7225000 8725000 b^u-N+o=w/A:2+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_17/G:5_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
8725000 9625000 u^N-o+w=a/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:20+3_0/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_17/G:5_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
9625000 11125000 N^o-w+a=k/A:-3+1+5/B:13-xx_xx/C:20_3+0/D:10+7_1/E:4_1!0_xx-1/F:5_4#0_xx@2_3|5_13/G:4_2%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
11125000 11625000 o^w-a+k=i/A:-3+1+5/B:13-xx_xx/C:20_3+0/D:10+7_1/E:4_1!0_xx-1/F:5_4#0_xx@2_3|5_13/G:4_2%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
11625000 12625000 w^a-k+i=m/A:-2+2+4/B:13-xx_xx/C:20_3+0/D:10+7_1/E:4_1!0_xx-1/F:5_4#0_xx@2_3|5_13/G:4_2%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
12625000 12925000 a^k-i+m=a/A:-2+2+4/B:13-xx_xx/C:20_3+0/D:10+7_1/E:4_1!0_xx-1/F:5_4#0_xx@2_3|5_13/G:4_2%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
