0 3025000 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_15/K:2+8-36
3025000 3925000 xx^sil-k+a=r/A:0+1+3/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_4|1_15/G:4_1%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+36/J:4_21/K:2+8-36
3925000 4425000 sil^k-a+r=e/A:0+1+3/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_4|1_15/G:4_1%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+36/J:4_21/K:2+8-36
4425000 4725000 k^a-r+e=w/A:1+2+2/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_4|1_15/G:4_1%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+36/J:4_21/K:2+8-36
4725000 5525000 a^r-e+w=a/A:1+2+2/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_4|1_15/G:4_1%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+36/J:4_21/K:2+8-36
5525000 6125000 r^e-w+a=k/A:2+3+1/B:04-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_4|1_15/G:4_1%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+36/J:4_21/K:2+8-36
6125000 7025000 e^w-a+k=o/A:2+3+1/B:04-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_4|1_15/G:4_1%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+36/J:4_21/K:2+8-36
7025000 7625000 w^a-k+o=N/A:0+1+4/B:24-xx_xx/C:02_xx+xx/D:24+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_3|4_12/G:5_5%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+36/J:4_21/K:2+8-36
7625000 8725000 a^k-o+N=d/A:0+1+4/B:24-xx_xx/C:02_xx+xx/D:24+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_3|4_12/G:5_5%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+36/J:4_21/K:2+8-36
8725000 9525000 k^o-N+d=o/A:1+2+3/B:24-xx_xx/C:02_xx+xx/D:24+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_3|4_12/G:5_5%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+36/J:4_21/K:2+8-36
9525000 9925000 o^N-d+o=w/A:2+3+2/B:24-xx_xx/C:02_xx+xx/D:24+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_3|4_12/G:5_5%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+36/J:4_21/K:2+8-36
