0 3225000 xx^xx-sil+k=u/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:1_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_18/K:2+9-41
3225000 3925000 xx^sil-k+u=r/A:0+1+1/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:1_1#0_xx@1_4|1_18/G:8_4%0_xx_1/H:xx_xx/I:4-18@1+2&1-9|1+41/J:5_23/K:2+9-41
3925000 4225000 sil^k-u+r=e/A:0+1+1/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:1_1#0_xx@1_4|1_18/G:8_4%0_xx_1/H:xx_xx/I:4-18@1+2&1-9|1+41/J:5_23/K:2+9-41
4225000 4725000 k^u-r+e=N/A:-3+1+8/B:02-xx_xx/C:18_xx+xx/D:09+xx_xx/E:1_1!0_xx-1/F:8_4#0_xx@2_3|2_17/G:4_4%0_xx_1/H:xx_xx/I:4-18@1+2&1-9|1+41/J:5_23/K:2+9-41
4725000 5525000 u^r-e+N=p/A:-3+1+8/B:02-xx_xx/C:18_xx+xx/D:09+xx_xx/E:1_1!0_xx-1/F:8_4#0_xx@2_3|2_17/G:4_4%0_xx_1/H:xx_xx/I:4-18@1+2&1-9|1+41/J:5_23/K:2+9-41
5525000 6225000 r^e-N+p=e/A:-2+2+7/B:02-xx_xx/C:18_xx+xx/D:09+xx_xx/E:1_1!0_xx-1/F:8_4#0_xx@2_3|2_17/G:4_4%0_xx_1/H:xx_xx/I:4-18@1+2&1-9|1+41/J:5_23/K:2+9-41
6225000 6825000 e^N-p+e=ky/A:-1+3+6/B:18-xx_xx/C:09_xx+xx/D:02+xx_xx/E:1_1!0_xx-1/F:8_4#0_xx@2_3|2_17/G:4_4%0_xx_1/H:xx_xx/I:4-18@1+2&1-9|1+41/J:5_23/K:2+9-41
6825000 7524999 N^p-e+ky=o/A:-1+3+6/B:18-xx_xx/C:09_xx+xx/D:02+xx_xx/E:1_1!0_xx-1/F:8_4#0_xx@2_3|2_17/G:4_4%0_xx_1/H:xx_xx/I:4-18@1+2&1-9|1+41/J:5_23/K:2+9-41
7524999 8425000 p^e-ky+o=o/A:0+4+5/B:09-xx_xx/C:02_xx+xx/D:24+xx_xx/E:1_1!0_xx-1/F:8_4#0_xx@2_3|2_17/G:4_4%0_xx_1/H:xx_xx/I:4-18@1+2&1-9|1+41/J:5_23/K:2+9-41
8425000 9725000 e^ky-o+o=t/A:0+4+5/B:09-xx_xx/C:02_xx+xx/D:24+xx_xx/E:1_1!0_xx-1/F:8_4#0_xx@2_3|2_17/G:4_4%0_xx_1/H:xx_xx/I:4-18@1+2&1-9|1+41/J:5_23/K:2+9-41
9725000 10725000 ky^o-o+t=o/A:1+5+4/B:09-xx_xx/C:02_xx+xx/D:24+xx_xx/E:1_1!0_xx-1/F:8_4#0_xx@2_3|2_17/G:4_4%0_xx_1/H:xx_xx/I:4-18@1+2&1-9|1+41/J:5_23/K:2+9-41
10725000 11325000 o^o-t+o=o/A:2+6+3/B:09-xx_xx/C:02_xx+xx/D:24+xx_xx/E:1_1!0_xx-1/F:8_4#0_xx@2_3|2_17/G:4_4%0_xx_1/H:xx_xx/I:4-18@1+2&1-9|1+41/J:5_23/K:2+9-41
11325000 12125000 o^t-o+o=w/A:2+6+3/B:09-xx_xx/C:02_xx+xx/D:24+xx_xx/E:1_1!0_xx-1/F:8_4#0_xx@2_3|2_17/G:4_4%0_xx_1/H:xx_xx/I:4-18@1+2&1-9|1+41/J:5_23/K:2+9-41
12125000 13225000 t^o-o+w=a/A:3+7+2/B:09-xx_xx/C:02_xx+xx/D:24+xx_xx/E:1_1!0_xx-1/F:8_4#0_xx@2_3|2_17/G:4_4%0_xx_1/H:xx_xx/I:4-18@1+2&1-9|1+41/J:5_23/K:2+9-41
13225000 13625000 o^o-w+a=b/A:4+8+1/B:02-xx_xx/C:24_xx+xx/D:19+xx_xx/E:1_1!0_xx-1/F:8_4#0_xx@2_3|2_17/G:4_4%0_xx_1/H:xx_xx/I:4-18@1+2&1-9|1+41/J:5_23/K:2+9-41
13625000 13925000 o^w-a+b=u/A:4+8+1/B:02-xx_xx/C:24_xx+xx/D:19+xx_xx/E:1_1!0_xx-1/F:8_4#0_xx@2_3|2_17/G:4_4%0_xx_1/H:xx_xx/I:4-18@1+2&1-9|1+41/J:5_23/K:2+9-41
13925000 14725000 w^a-b+u=k/A:-3+1+4/B:24-xx_xx/C:19_xx+xx/D:10+7_3/E:8_4!0_xx-1/F:4_4#0_xx@3_2|10_9/G:5_3%0_xx_1/H:xx_xx/I:4-18@1+2&1-9|1+41/J:5_23/K:2+9-41
