0 14025000 xx^xx-sil+m=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_2/K:3+8-36
14025000 14325000 xx^sil-m+o=o/A:0+1+2/B:xx-xx_xx/C:06_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:2_1#0_xx@1_1|1_2/G:8_2%0_xx_0/H:xx_xx/I:1-2@1+3&1-8|1+36/J:2_14/K:3+8-36
14325000 16625000 sil^m-o+o=pau/A:0+1+2/B:xx-xx_xx/C:06_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:2_1#0_xx@1_1|1_2/G:8_2%0_xx_0/H:xx_xx/I:1-2@1+3&1-8|1+36/J:2_14/K:3+8-36
16625000 18225000 m^o-o+pau=a/A:1+2+1/B:xx-xx_xx/C:06_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:2_1#0_xx@1_1|1_2/G:8_2%0_xx_0/H:xx_xx/I:1-2@1+3&1-8|1+36/J:2_14/K:3+8-36
18225000 18825000 o^o-pau+a=n/A:xx+xx+xx/B:06-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:2_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:8_2%0_xx_xx/H:1_2/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_14/K:3+8-36
18825000 19125000 o^pau-a+n=a/A:-1+1+8/B:06-xx_xx/C:04_xx+xx/D:13+xx_xx/E:2_1!0_xx-0/F:8_2#0_xx@1_2|1_14/G:6_3%0_xx_1/H:1_2/I:2-14@2+2&2-7|3+34/J:5_20/K:3+8-36
19125000 20325000 pau^a-n+a=t/A:0+2+7/B:06-xx_xx/C:04_xx+xx/D:13+xx_xx/E:2_1!0_xx-0/F:8_2#0_xx@1_2|1_14/G:6_3%0_xx_1/H:1_2/I:2-14@2+2&2-7|3+34/J:5_20/K:3+8-36
20325000 20724999 a^n-a+t=a/A:0+2+7/B:06-xx_xx/C:04_xx+xx/D:13+xx_xx/E:2_1!0_xx-0/F:8_2#0_xx@1_2|1_14/G:6_3%0_xx_1/H:1_2/I:2-14@2+2&2-7|3+34/J:5_20/K:3+8-36
20724999 21225000 n^a-t+a=n/A:1+3+6/B:06-xx_xx/C:04_xx+xx/D:13+xx_xx/E:2_1!0_xx-0/F:8_2#0_xx@1_2|1_14/G:6_3%0_xx_1/H:1_2/I:2-14@2+2&2-7|3+34/J:5_20/K:3+8-36
21225000 21825000 a^t-a+n=i/A:1+3+6/B:06-xx_xx/C:04_xx+xx/D:13+xx_xx/E:2_1!0_xx-0/F:8_2#0_xx@1_2|1_14/G:6_3%0_xx_1/H:1_2/I:2-14@2+2&2-7|3+34/J:5_20/K:3+8-36
21825000 22325000 t^a-n+i=b/A:2+4+5/B:04-xx_xx/C:13_xx+xx/D:11+xx_xx/E:2_1!0_xx-0/F:8_2#0_xx@1_2|1_14/G:6_3%0_xx_1/H:1_2/I:2-14@2+2&2-7|3+34/J:5_20/K:3+8-36
22325000 23125000 a^n-i+b=a/A:2+4+5/B:04-xx_xx/C:13_xx+xx/D:11+xx_xx/E:2_1!0_xx-0/F:8_2#0_xx@1_2|1_14/G:6_3%0_xx_1/H:1_2/I:2-14@2+2&2-7|3+34/J:5_20/K:3+8-36
23125000 24125000 n^i-b+a=k/A:3+5+4/B:13-xx_xx/C:11_xx+xx/D:24+xx_xx/E:2_1!0_xx-0/F:8_2#0_xx@1_2|1_14/G:6_3%0_xx_1/H:1_2/I:2-14@2+2&2-7|3+34/J:5_20/K:3+8-36
24125000 24525000 i^b-a+k=a/A:3+5+4/B:13-xx_xx/C:11_xx+xx/D:24+xx_xx/E:2_1!0_xx-0/F:8_2#0_xx@1_2|1_14/G:6_3%0_xx_1/H:1_2/I:2-14@2+2&2-7|3+34/J:5_20/K:3+8-36
24525000 24825000 b^a-k+a=r/A:4+6+3/B:13-xx_xx/C:11_xx+xx/D:24+xx_xx/E:2_1!0_xx-0/F:8_2#0_xx@1_2|1_14/G:6_3%0_xx_1/H:1_2/I:2-14@2+2&2-7|3+34/J:5_20/K:3+8-36
24825000 25225000 a^k-a+r=i/A:4+6+3/B:13-xx_xx/C:11_xx+xx/D:24+xx_xx/E:2_1!0_xx-0/F:8_2#0_xx@1_2|1_14/G:6_3%0_xx_1/H:1_2/I:2-14@2+2&2-7|3+34/J:5_20/K:3+8-36
