0 1625000 xx^xx-sil+m=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_20/K:1+4-20
1625000 2225000 xx^sil-m+a=r/A:-2+1+6/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
2225000 2824999 sil^m-a+r=u/A:-2+1+6/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
2824999 3325000 m^a-r+u=m/A:-1+2+5/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
3325000 3625000 a^r-u+m=e/A:-1+2+5/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
3625000 4325000 r^u-m+e=z/A:0+3+4/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
4325000 5325000 u^m-e+z=o/A:0+3+4/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
5325000 5925000 m^e-z+o=N/A:1+4+3/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
5925000 6925000 e^z-o+N=n/A:1+4+3/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
6925000 7425000 z^o-N+n=o/A:2+5+2/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
7425000 7725000 o^N-n+o=t/A:3+6+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
7725000 8525000 N^n-o+t=e/A:3+6+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_20/G:4_1%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
8525000 9025000 n^o-t+e=N/A:0+1+4/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@2_3|7_14/G:5_1%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
9025000 10225000 o^t-e+N=sh/A:0+1+4/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@2_3|7_14/G:5_1%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
10225000 10525000 t^e-N+sh=u/A:1+2+3/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@2_3|7_14/G:5_1%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
10525000 11725000 e^N-sh+u=w/A:2+3+2/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@2_3|7_14/G:5_1%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
11725000 12024999 N^sh-u+w=a/A:2+3+2/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:4_1#0_xx@2_3|7_14/G:5_1%0_xx_1/H:xx_xx/I:4-20@1+1&1-4|1+20/J:xx_xx/K:1+4-20
