0 2525000 xx^xx-sil+w=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_9/K:2+7-28
2525000 3025000 xx^sil-w+a=t/A:-3+1+4/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_9/G:5_2%0_xx_1/H:xx_xx/I:2-9@1+2&1-7|1+28/J:5_19/K:2+7-28
3025000 3725000 sil^w-a+t=a/A:-3+1+4/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_9/G:5_2%0_xx_1/H:xx_xx/I:2-9@1+2&1-7|1+28/J:5_19/K:2+7-28
3725000 4325000 w^a-t+a=sh/A:-2+2+3/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_9/G:5_2%0_xx_1/H:xx_xx/I:2-9@1+2&1-7|1+28/J:5_19/K:2+7-28
4325000 4625000 a^t-a+sh=i/A:-2+2+3/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_9/G:5_2%0_xx_1/H:xx_xx/I:2-9@1+2&1-7|1+28/J:5_19/K:2+7-28
4625000 5825000 t^a-sh+i=w/A:-1+3+2/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_9/G:5_2%0_xx_1/H:xx_xx/I:2-9@1+2&1-7|1+28/J:5_19/K:2+7-28
5825000 6125000 a^sh-i+w=a/A:-1+3+2/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_9/G:5_2%0_xx_1/H:xx_xx/I:2-9@1+2&1-7|1+28/J:5_19/K:2+7-28
6125000 6425000 sh^i-w+a=t/A:0+4+1/B:04-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_9/G:5_2%0_xx_1/H:xx_xx/I:2-9@1+2&1-7|1+28/J:5_19/K:2+7-28
6425000 7425000 i^w-a+t=e/A:0+4+1/B:04-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_2|1_9/G:5_2%0_xx_1/H:xx_xx/I:2-9@1+2&1-7|1+28/J:5_19/K:2+7-28
7425000 7825000 w^a-t+e=h/A:-1+1+5/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:5_2#0_xx@2_1|5_5/G:7_3%0_xx_0/H:xx_xx/I:2-9@1+2&1-7|1+28/J:5_19/K:2+7-28
7825000 8125000 a^t-e+h=a/A:-1+1+5/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:5_2#0_xx@2_1|5_5/G:7_3%0_xx_0/H:xx_xx/I:2-9@1+2&1-7|1+28/J:5_19/K:2+7-28
8125000 9225000 t^e-h+a=j/A:0+2+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:5_2#0_xx@2_1|5_5/G:7_3%0_xx_0/H:xx_xx/I:2-9@1+2&1-7|1+28/J:5_19/K:2+7-28
9225000 9825000 e^h-a+j=i/A:0+2+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:5_2#0_xx@2_1|5_5/G:7_3%0_xx_0/H:xx_xx/I:2-9@1+2&1-7|1+28/J:5_19/K:2+7-28
9825000 10625000 h^a-j+i=m/A:1+3+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:5_2#0_xx@2_1|5_5/G:7_3%0_xx_0/H:xx_xx/I:2-9@1+2&1-7|1+28/J:5_19/K:2+7-28
10625000 10925000 a^j-i+m=e/A:1+3+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:5_2#0_xx@2_1|5_5/G:7_3%0_xx_0/H:xx_xx/I:2-9@1+2&1-7|1+28/J:5_19/K:2+7-28
