0 2125000 xx^xx-sil+h=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_12/K:2+5-24
2125000 2824999 xx^sil-h+o=o/A:-4+1+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_12/G:7_4%0_xx_1/H:xx_xx/I:2-12@1+2&1-5|1+24/J:3_12/K:2+5-24
2824999 4125000 sil^h-o+o=k/A:-4+1+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_12/G:7_4%0_xx_1/H:xx_xx/I:2-12@1+2&1-5|1+24/J:3_12/K:2+5-24
4125000 4925000 h^o-o+k=a/A:-3+2+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_12/G:7_4%0_xx_1/H:xx_xx/I:2-12@1+2&1-5|1+24/J:3_12/K:2+5-24
4925000 5625000 o^o-k+a=g/A:-2+3+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_12/G:7_4%0_xx_1/H:xx_xx/I:2-12@1+2&1-5|1+24/J:3_12/K:2+5-24
5625000 5925000 o^k-a+g=o/A:-2+3+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_12/G:7_4%0_xx_1/H:xx_xx/I:2-12@1+2&1-5|1+24/J:3_12/K:2+5-24
5925000 6725000 k^a-g+o=n/A:-1+4+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_12/G:7_4%0_xx_1/H:xx_xx/I:2-12@1+2&1-5|1+24/J:3_12/K:2+5-24
6725000 7425000 a^g-o+n=o/A:-1+4+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_12/G:7_4%0_xx_1/H:xx_xx/I:2-12@1+2&1-5|1+24/J:3_12/K:2+5-24
7425000 7725000 g^o-n+o=o/A:0+5+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_12/G:7_4%0_xx_1/H:xx_xx/I:2-12@1+2&1-5|1+24/J:3_12/K:2+5-24
7725000 8325000 o^n-o+o=N/A:0+5+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_2|1_12/G:7_4%0_xx_1/H:xx_xx/I:2-12@1+2&1-5|1+24/J:3_12/K:2+5-24
8325000 9325000 n^o-o+N=g/A:-3+1+7/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_5!0_xx-1/F:7_4#0_xx@2_1|6_7/G:4_2%0_xx_0/H:xx_xx/I:2-12@1+2&1-5|1+24/J:3_12/K:2+5-24
9325000 9825000 o^o-N+g=a/A:-2+2+6/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_5!0_xx-1/F:7_4#0_xx@2_1|6_7/G:4_2%0_xx_0/H:xx_xx/I:2-12@1+2&1-5|1+24/J:3_12/K:2+5-24
9825000 10425000 o^N-g+a=k/A:-1+3+5/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_5!0_xx-1/F:7_4#0_xx@2_1|6_7/G:4_2%0_xx_0/H:xx_xx/I:2-12@1+2&1-5|1+24/J:3_12/K:2+5-24
10425000 11025000 N^g-a+k=u/A:-1+3+5/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_5!0_xx-1/F:7_4#0_xx@2_1|6_7/G:4_2%0_xx_0/H:xx_xx/I:2-12@1+2&1-5|1+24/J:3_12/K:2+5-24
11025000 11425000 g^a-k+u=sh/A:0+4+4/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_5!0_xx-1/F:7_4#0_xx@2_1|6_7/G:4_2%0_xx_0/H:xx_xx/I:2-12@1+2&1-5|1+24/J:3_12/K:2+5-24
11425000 12225000 a^k-u+sh=I/A:0+4+4/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_5!0_xx-1/F:7_4#0_xx@2_1|6_7/G:4_2%0_xx_0/H:xx_xx/I:2-12@1+2&1-5|1+24/J:3_12/K:2+5-24
