0 4425000 xx^xx-sil+f=U/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:19+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_3/K:3+6-23
4425000 5325000 xx^sil-f+U=ts/A:-2+1+3/B:xx-xx_xx/C:19_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:6_6%0_xx_0/H:xx_xx/I:1-3@1+3&1-6|1+23/J:1_6/K:3+6-23
5325000 5925000 sil^f-U+ts=u/A:-2+1+3/B:xx-xx_xx/C:19_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:6_6%0_xx_0/H:xx_xx/I:1-3@1+3&1-6|1+23/J:1_6/K:3+6-23
5925000 7125000 f^U-ts+u=u/A:-1+2+2/B:xx-xx_xx/C:19_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:6_6%0_xx_0/H:xx_xx/I:1-3@1+3&1-6|1+23/J:1_6/K:3+6-23
7125000 7625000 U^ts-u+u=pau/A:-1+2+2/B:xx-xx_xx/C:19_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:6_6%0_xx_0/H:xx_xx/I:1-3@1+3&1-6|1+23/J:1_6/K:3+6-23
7625000 8425000 ts^u-u+pau=sh/A:0+3+1/B:xx-xx_xx/C:19_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:6_6%0_xx_0/H:xx_xx/I:1-3@1+3&1-6|1+23/J:1_6/K:3+6-23
8425000 8725000 u^u-pau+sh=o/A:xx+xx+xx/B:19-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:3_3!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_6%0_xx_xx/H:1_3/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_6/K:3+6-23
8725000 10525000 u^pau-sh+o=ky/A:-5+1+6/B:19-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-0/F:6_6#0_xx@1_1|1_6/G:4_2%0_xx_0/H:1_3/I:1-6@2+2&2-5|4+20/J:4_14/K:3+6-23
10525000 11325000 pau^sh-o+ky=u/A:-5+1+6/B:19-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-0/F:6_6#0_xx@1_1|1_6/G:4_2%0_xx_0/H:1_3/I:1-6@2+2&2-5|4+20/J:4_14/K:3+6-23
11325000 12425000 sh^o-ky+u=u/A:-4+2+5/B:19-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-0/F:6_6#0_xx@1_1|1_6/G:4_2%0_xx_0/H:1_3/I:1-6@2+2&2-5|4+20/J:4_14/K:3+6-23
12425000 12725000 o^ky-u+u=sh/A:-4+2+5/B:19-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-0/F:6_6#0_xx@1_1|1_6/G:4_2%0_xx_0/H:1_3/I:1-6@2+2&2-5|4+20/J:4_14/K:3+6-23
12725000 13325000 ky^u-u+sh=a/A:-3+3+4/B:19-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_3!0_xx-0/F:6_6#0_xx@1_1|1_6/G:4_2%0_xx_0/H:1_3/I:1-6@2+2&2-5|4+20/J:4_14/K:3+6-23
13325000 14524999 u^u-sh+a=d/A:-2+4+3/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:3_3!0_xx-0/F:6_6#0_xx@1_1|1_6/G:4_2%0_xx_0/H:1_3/I:1-6@2+2&2-5|4+20/J:4_14/K:3+6-23
14524999 14925000 u^sh-a+d=e/A:-2+4+3/B:02-xx_xx/C:15_xx+xx/D:13+xx_xx/E:3_3!0_xx-0/F:6_6#0_xx@1_1|1_6/G:4_2%0_xx_0/H:1_3/I:1-6@2+2&2-5|4+20/J:4_14/K:3+6-23
14925000 15625000 sh^a-d+e=w/A:-1+5+2/B:15-xx_xx/C:13_xx+xx/D:24+xx_xx/E:3_3!0_xx-0/F:6_6#0_xx@1_1|1_6/G:4_2%0_xx_0/H:1_3/I:1-6@2+2&2-5|4+20/J:4_14/K:3+6-23
15625000 16225000 a^d-e+w=a/A:-1+5+2/B:15-xx_xx/C:13_xx+xx/D:24+xx_xx/E:3_3!0_xx-0/F:6_6#0_xx@1_1|1_6/G:4_2%0_xx_0/H:1_3/I:1-6@2+2&2-5|4+20/J:4_14/K:3+6-23
16225000 17125000 d^e-w+a=pau/A:0+6+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:3_3!0_xx-0/F:6_6#0_xx@1_1|1_6/G:4_2%0_xx_0/H:1_3/I:1-6@2+2&2-5|4+20/J:4_14/K:3+6-23
17125000 19025000 e^w-a+pau=t/A:0+6+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:3_3!0_xx-0/F:6_6#0_xx@1_1|1_6/G:4_2%0_xx_0/H:1_3/I:1-6@2+2&2-5|4+20/J:4_14/K:3+6-23
