0 3825000 xx^xx-sil+s=U/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:7_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_17/K:1+3-17
3825000 5024999 xx^sil-s+U=p/A:-1+1+7/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_3|1_17/G:6_3%0_xx_1/H:xx_xx/I:3-17@1+1&1-3|1+17/J:xx_xx/K:1+3-17
5024999 5325000 sil^s-U+p=i/A:-1+1+7/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_3|1_17/G:6_3%0_xx_1/H:xx_xx/I:3-17@1+1&1-3|1+17/J:xx_xx/K:1+3-17
5325000 6125000 s^U-p+i=r/A:0+2+6/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_3|1_17/G:6_3%0_xx_1/H:xx_xx/I:3-17@1+1&1-3|1+17/J:xx_xx/K:1+3-17
6125000 6825000 U^p-i+r=i/A:0+2+6/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_3|1_17/G:6_3%0_xx_1/H:xx_xx/I:3-17@1+1&1-3|1+17/J:xx_xx/K:1+3-17
6825000 7125000 p^i-r+i=cl/A:1+3+5/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_3|1_17/G:6_3%0_xx_1/H:xx_xx/I:3-17@1+1&1-3|1+17/J:xx_xx/K:1+3-17
7125000 8625000 i^r-i+cl=ts/A:1+3+5/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_3|1_17/G:6_3%0_xx_1/H:xx_xx/I:3-17@1+1&1-3|1+17/J:xx_xx/K:1+3-17
8625000 8925000 r^i-cl+ts=U/A:2+4+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_3|1_17/G:6_3%0_xx_1/H:xx_xx/I:3-17@1+1&1-3|1+17/J:xx_xx/K:1+3-17
8925000 9825000 i^cl-ts+U=t/A:3+5+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_3|1_17/G:6_3%0_xx_1/H:xx_xx/I:3-17@1+1&1-3|1+17/J:xx_xx/K:1+3-17
9825000 10125000 cl^ts-U+t=o/A:3+5+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_3|1_17/G:6_3%0_xx_1/H:xx_xx/I:3-17@1+1&1-3|1+17/J:xx_xx/K:1+3-17
10125000 10725000 ts^U-t+o=w/A:4+6+2/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_2#0_xx@1_3|1_17/G:6_3%0_xx_1/H:xx_xx/I:3-17@1+1&1-3|1+17/J:xx_xx/K:1+3-17
