0 2325000 xx^xx-sil+o=m/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_11/K:2+5-19
2325000 3225000 xx^sil-o+m=o/A:-2+1+3/B:xx-xx_xx/C:01_7+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_3|1_11/G:5_3%0_xx_1/H:xx_xx/I:3-11@1+2&1-5|1+19/J:2_8/K:2+5-19
3225000 4325000 sil^o-m+o=i/A:-1+2+2/B:xx-xx_xx/C:01_7+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_3|1_11/G:5_3%0_xx_1/H:xx_xx/I:3-11@1+2&1-5|1+19/J:2_8/K:2+5-19
4325000 5225000 o^m-o+i=w/A:-1+2+2/B:xx-xx_xx/C:01_7+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_3|1_11/G:5_3%0_xx_1/H:xx_xx/I:3-11@1+2&1-5|1+19/J:2_8/K:2+5-19
5225000 5825000 m^o-i+w=a/A:0+3+1/B:xx-xx_xx/C:01_7+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_3|1_11/G:5_3%0_xx_1/H:xx_xx/I:3-11@1+2&1-5|1+19/J:2_8/K:2+5-19
5825000 7025000 o^i-w+a=t/A:-2+1+5/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_3#0_xx@2_2|4_8/G:3_1%0_xx_1/H:xx_xx/I:3-11@1+2&1-5|1+19/J:2_8/K:2+5-19
7025000 7625000 i^w-a+t=a/A:-2+1+5/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_3#0_xx@2_2|4_8/G:3_1%0_xx_1/H:xx_xx/I:3-11@1+2&1-5|1+19/J:2_8/K:2+5-19
7625000 8325000 w^a-t+a=i/A:-1+2+4/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_3#0_xx@2_2|4_8/G:3_1%0_xx_1/H:xx_xx/I:3-11@1+2&1-5|1+19/J:2_8/K:2+5-19
8325000 9125000 a^t-a+i=r/A:-1+2+4/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_3#0_xx@2_2|4_8/G:3_1%0_xx_1/H:xx_xx/I:3-11@1+2&1-5|1+19/J:2_8/K:2+5-19
9125000 10025000 t^a-i+r=e/A:0+3+3/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_3#0_xx@2_2|4_8/G:3_1%0_xx_1/H:xx_xx/I:3-11@1+2&1-5|1+19/J:2_8/K:2+5-19
10025000 10325000 a^i-r+e=o/A:1+4+2/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_3#0_xx@2_2|4_8/G:3_1%0_xx_1/H:xx_xx/I:3-11@1+2&1-5|1+19/J:2_8/K:2+5-19
