0 1724999 xx^xx-sil+sh=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_24/K:1+6-24
1724999 3625000 xx^sil-sh+i=N/A:-2+1+6/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
3625000 4725000 sil^sh-i+N=k/A:-2+1+6/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
4725000 5125000 sh^i-N+k=a/A:-1+2+5/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
5125000 5825000 i^N-k+a=i/A:0+3+4/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
5825000 6825000 N^k-a+i=gy/A:0+3+4/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
6825000 7425000 k^a-i+gy=o/A:1+4+3/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
7425000 8225000 a^i-gy+o=w/A:2+5+2/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
8225000 8625000 i^gy-o+w=a/A:2+5+2/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
8625000 9625000 gy^o-w+a=m/A:3+6+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
9625000 10025000 o^w-a+m=i/A:3+6+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
10025000 11025000 w^a-m+i=t/A:-3+1+4/B:24-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:4_4#0_xx@2_5|7_18/G:4_2%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
11025000 11525000 a^m-i+t=a/A:-3+1+4/B:24-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:4_4#0_xx@2_5|7_18/G:4_2%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
11525000 12325000 m^i-t+a=m/A:-2+2+3/B:24-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:4_4#0_xx@2_5|7_18/G:4_2%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
12325000 12925000 i^t-a+m=e/A:-2+2+3/B:24-xx_xx/C:02_xx+xx/D:24+xx_xx/E:6_3!0_xx-1/F:4_4#0_xx@2_5|7_18/G:4_2%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
