0 2425000 xx^xx-sil+s=u/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_24/K:1+6-24
2425000 3125000 xx^sil-s+u=b/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
3125000 3725000 sil^s-u+b=e/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
3725000 4025000 s^u-b+e=t/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
4025000 5125000 u^b-e+t=e/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
5125000 5425000 b^e-t+e=n/A:2+3+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
5425000 6025000 e^t-e+n=o/A:2+3+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
6025000 6725000 t^e-n+o=e/A:3+4+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
6725000 7524999 e^n-o+e=m/A:3+4+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_24/G:4_4%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
7524999 8425000 n^o-e+m=o/A:-3+1+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@2_5|5_20/G:7_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
8425000 9425000 o^e-m+o=n/A:-2+2+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@2_5|5_20/G:7_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
9425000 10325000 e^m-o+n=o/A:-2+2+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@2_5|5_20/G:7_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
10325000 10725000 m^o-n+o=o/A:-1+3+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@2_5|5_20/G:7_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
10725000 12425000 o^n-o+o=n/A:-1+3+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@2_5|5_20/G:7_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
12425000 12725000 n^o-o+n=o/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:4_1!0_xx-1/F:4_4#0_xx@2_5|5_20/G:7_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
12725000 13525000 o^o-n+o=z/A:-2+1+7/B:13-xx_xx/C:20_1+1/D:15+xx_xx/E:4_4!0_xx-1/F:7_3#0_xx@3_4|9_16/G:3_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
13525000 14424999 o^n-o+z=o/A:-2+1+7/B:13-xx_xx/C:20_1+1/D:15+xx_xx/E:4_4!0_xx-1/F:7_3#0_xx@3_4|9_16/G:3_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
14424999 15225000 n^o-z+o=m/A:-1+2+6/B:13-xx_xx/C:20_1+1/D:15+xx_xx/E:4_4!0_xx-1/F:7_3#0_xx@3_4|9_16/G:3_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
15225000 15525000 o^z-o+m=i/A:-1+2+6/B:13-xx_xx/C:20_1+1/D:15+xx_xx/E:4_4!0_xx-1/F:7_3#0_xx@3_4|9_16/G:3_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
15525000 16325000 z^o-m+i=d/A:0+3+5/B:13-xx_xx/C:20_1+1/D:15+xx_xx/E:4_4!0_xx-1/F:7_3#0_xx@3_4|9_16/G:3_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
16325000 17125000 o^m-i+d=o/A:0+3+5/B:13-xx_xx/C:20_1+1/D:15+xx_xx/E:4_4!0_xx-1/F:7_3#0_xx@3_4|9_16/G:3_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
17125000 17425000 m^i-d+o=o/A:1+4+4/B:20-1_1/C:15_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:7_3#0_xx@3_4|9_16/G:3_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
17425000 18125000 i^d-o+o=r/A:1+4+4/B:20-1_1/C:15_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:7_3#0_xx@3_4|9_16/G:3_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
18125000 18725000 d^o-o+r=i/A:2+5+3/B:20-1_1/C:15_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:7_3#0_xx@3_4|9_16/G:3_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
18725000 19325000 o^o-r+i=n/A:3+6+2/B:20-1_1/C:15_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:7_3#0_xx@3_4|9_16/G:3_3%0_xx_1/H:xx_xx/I:6-24@1+1&1-6|1+24/J:xx_xx/K:1+6-24
