0 1125000 xx^xx-sil+o=n/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_14/K:2+10-47
1125000 1825000 xx^sil-o+n=a/A:-2+1+3/B:xx-xx_xx/C:07_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_4|1_14/G:5_5%0_xx_1/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
1825000 2125000 sil^o-n+a=j/A:-1+2+2/B:xx-xx_xx/C:07_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_4|1_14/G:5_5%0_xx_1/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
2125000 2725000 o^n-a+j=i/A:-1+2+2/B:xx-xx_xx/C:07_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_4|1_14/G:5_5%0_xx_1/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
2725000 3425000 n^a-j+i=t/A:0+3+1/B:xx-xx_xx/C:07_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_4|1_14/G:5_5%0_xx_1/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
3425000 3725000 a^j-i+t=o/A:0+3+1/B:xx-xx_xx/C:07_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_4|1_14/G:5_5%0_xx_1/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
3725000 4525000 j^i-t+o=o/A:-4+1+5/B:07-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_3|4_11/G:2_2%0_xx_1/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
4525000 5725000 i^t-o+o=ky/A:-4+1+5/B:07-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_3|4_11/G:2_2%0_xx_1/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
5725000 6825000 t^o-o+ky=o/A:-3+2+4/B:07-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_3|4_11/G:2_2%0_xx_1/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
6825000 7425000 o^o-ky+o=o/A:-2+3+3/B:07-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_3|4_11/G:2_2%0_xx_1/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
7425000 8025000 o^ky-o+o=n/A:-2+3+3/B:07-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_3|4_11/G:2_2%0_xx_1/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
8025000 8525000 ky^o-o+n=o/A:-1+4+2/B:07-xx_xx/C:18_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_3|4_11/G:2_2%0_xx_1/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
8525000 9225000 o^o-n+o=n/A:0+5+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_3|4_11/G:2_2%0_xx_1/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
9225000 9825000 o^n-o+n=a/A:0+5+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:3_3!0_xx-1/F:5_5#0_xx@2_3|4_11/G:2_2%0_xx_1/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
9825000 10425000 n^o-n+a=o/A:-1+1+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:2_2#0_xx@3_2|9_6/G:4_4%0_xx_1/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
10425000 11425000 o^n-a+o=y/A:-1+1+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:2_2#0_xx@3_2|9_6/G:4_4%0_xx_1/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
11425000 12024999 n^a-o+y=o/A:0+2+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:5_5!0_xx-1/F:2_2#0_xx@3_2|9_6/G:4_4%0_xx_1/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
12024999 12325000 a^o-y+o=b/A:-3+1+4/B:13-xx_xx/C:20_1+2/D:13+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@4_1|11_4/G:4_4%0_xx_0/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
12325000 12825000 o^y-o+b=u/A:-3+1+4/B:13-xx_xx/C:20_1+2/D:13+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@4_1|11_4/G:4_4%0_xx_0/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
12825000 13525000 y^o-b+u=n/A:-2+2+3/B:13-xx_xx/C:20_1+2/D:13+xx_xx/E:2_2!0_xx-1/F:4_4#0_xx@4_1|11_4/G:4_4%0_xx_0/H:xx_xx/I:4-14@1+2&1-10|1+47/J:6_33/K:2+10-47
